ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
236,236,SP 56+236.000,236.065478515625,237,2014/06/04 07:04:15,2014/06/04 07:13:08,2014/06/04 07:15:19,2014/06/06 19:45:52,2014/06/06 18:05:15,1899/12/30 00:00:00,1899/12/30 00:00:00,-173761.355768937,-1345.01066579623,37.2314486736698,-173766.439306412,-1348.93856931557,33.1275750942065,-173757.123047608,-1341.69447430176,33.1486626722677,-173766.491726417,-1349.10488968718,30.6446036971009,-173757.033184543,-1341.58369318932,30.642131360493,,,,,,,-173761.355768937,-1345.01066579623,37.2314486736698,-173766.439306412,-1348.93856931557,33.1275750942065,-173757.123047608,-1341.69447430176,33.1486626722677,-173766.491726417,-1349.10488968718,30.6446036971009,-173757.033184543,-1341.58369318932,30.642131360493,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
236,236,SP 56236.000,2014/06/04 07:04:00,236.065,237.017,0,0,0,,,,0,0,0,0,0,0,,,0,0,-173761.3558,-1345.0107,37.2314,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/04 18:39:00,236.065,239.913,-0.2,-0.1,-0.2,,,,0,0,0,-1.5,-0.3,-0.4,,,0,0,,,,-173766.4393,-1348.9386,33.1276,-173757.123,-1341.6945,33.1487,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.5,-0.3,-0.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/05 18:05:00,236.065,245.309,-0.2,-0.2,-0.1,0,0,,0,0,0,-2,-1.5,-0.5,0,0,0,0,,,,,,,,,,,,,-173757.0332,-1341.5837,30.6421,,,,,,,0,0,0,0,0,0,0,,,-2,-1.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/06 19:45:00,236.065,251.188,-0.5,-0.3,-0.3,-0.1,,,0,0,0,-2.4,-2.2,-0.5,-0.9,-0.5,0,0,,,,,,,,,,-173766.4917,-1349.1049,30.6446,,,,,,,,,,0,0,0,0,0,0,0,,,-2.4,-2.2,-0.5,-0.9,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/07 18:31:00,0,255.44,-0.6,-0.7,-0.3,-0.4,,,0,0,0,-3.6,-3.6,-1.7,-1.5,-0.9,0,0,-173761.3594,-1345.0133,37.2278,-173766.4437,-1348.9413,33.124,-173757.1275,-1341.6977,33.147,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-3.6,-3.6,-1.7,-1.5,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/09 19:18:00,236.065,257.513,-1,-0.8,-0.4,-0.4,,,0,0,0,-4,-4.1,-1.8,-2.2,-1.5,0,0,-173761.3596,-1345.0132,37.2313,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-4,-4.1,-1.8,-2.2,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/10 18:54:00,236.065,259.983,-1.5,-0.8,-0.5,-0.5,-6.7,,0,0,0,-4.3,-4.5,-2.1,-3,-2.8,0,0,-173761.3589,-1345.0126,37.2302,-173766.4425,-1348.9401,33.1289,-173757.126,-1341.6955,33.1496,-173766.4912,-1349.105,30.6489,,,,,,,,,,0,0,0,0,0,0,0,,,-4.3,-4.5,-2.1,-3,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/12 18:44:00,236.065,270.444,-2,-1.5,-0.7,-0.8,-6.2,,0,0,0,-4.8,-5,-2.4,-3.1,-2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8,-5,-2.4,-3.1,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/14 18:56:00,236.065,280.492,-1.9,-1.8,-0.5,-0.3,-6.5,,0,0,0,-4.4,-4.1,-2.6,-3.2,-3.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,-4.1,-2.6,-3.2,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,SP 56+236.000,2014/06/16 19:05:00,236.065,282,-2.3,-1.9,-1.1,-0.6,-6.4,,0,0,0,-4.7,-4.8,-2.5,-3.6,-3.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,-4.8,-2.5,-3.6,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
