ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
718,715,SP 5575+7.000,712.517919921875,712.6,2014/11/18 07:09:06,2014/11/18 07:16:20,2014/11/18 07:21:53,2014/11/19 19:22:35,2014/11/19 19:19:47,1899/12/30 00:00:00,1899/12/30 00:00:00,-173467.767419544,-1720.26328351099,49.8353774505955,-173472.858265165,-1724.23301069249,45.8259527131073,-173463.567224595,-1716.95084691651,45.8127247364567,-173472.848193735,-1724.45870448867,43.3197268899281,-173463.4626205,-1716.9316866733,43.3418114882995,,,,,,,-173467.775359971,-1720.26464642519,49.8348907068154,-173472.858685752,-1724.2333944986,45.8264628103341,-173463.566567408,-1716.949764395,45.8110339125796,-173472.848193735,-1724.45870448867,43.3197268899281,-173463.4626205,-1716.9316866733,43.3418114882995,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
718,715,SP 5575+7.000,2014/11/18 18:54:00,712.514,715.773,0,0,0,,,,0,0,0,0,0,0,,,0,0,-173467.7738,-1720.2636,49.8359,-173472.8587,-1724.2334,45.8265,-173463.5666,-1716.9498,45.811,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/19 08:08:00,712.514,719.34,-2.8,-1.9,0,,,,0,0,0,-0.5,-1.4,-2,,,0,0,-173467.7754,-1720.2646,49.8349,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-0.5,-1.4,-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/19 19:22:00,712.518,722.71,-3.4,-2.2,-0.4,0,0,,0,0,0,-0.7,-1.6,-2.7,0,0,0,0,,,,,,,,,,-173472.8482,-1724.4587,43.3197,-173463.4626,-1716.9317,43.3418,,,,,,,0,0,0,0,0,0,0,,,-0.7,-1.6,-2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/20 20:08:00,712.514,730.031,-3.3,-2.4,-0.4,-0.2,-6,4.9,0,0,0,-0.5,-1.6,-2.5,-0.4,-0.7,0,0,-173467.7742,-1720.2635,49.8356,-173472.8589,-1724.2327,45.8243,-173463.5675,-1716.9501,45.8105,-173472.8473,-1724.4577,43.3218,-173463.4606,-1716.9297,43.3426,,,,,,,0,0,0,0,0,0,0,,,-0.5,-1.6,-2.5,-0.4,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/21 08:35:00,712.514,733.609,-3.5,-2.7,-0.7,-0.1,,3.1,0,0,0,-0.7,-1.7,-2.9,-0.5,-1.1,0,0,-173467.7774,-1720.2656,49.8347,,,,-173463.5706,-1716.9524,45.8106,,,,-173463.4642,-1716.9327,43.3433,,,,,,,0,-8,0,0,0,0,0,,,-0.7,-1.7,-2.9,-0.5,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/23 08:09:00,712.513,741.4,-3.4,-2.6,-0.6,-0.4,,,0,0,0,-0.7,-1.6,-3,-0.6,-0.9,0,0,-173467.7734,-1720.2619,49.8369,,,,-173463.5669,-1716.9485,45.8125,,,,,,,,,,,,,0,-8,0,0,0,0,0,,,-0.7,-1.6,-3,-0.6,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/25 19:43:00,712.513,744.579,-3.6,-2.6,-0.4,-0.3,,,0,0,0,-0.5,-1.6,-2.8,-0.9,-1.1,0,0,-173467.776,-1720.2641,49.8371,,,,-173463.5684,-1716.9503,45.8132,,,,,,,,,,,,,0,-8,0,0,0,0,0,,,-0.5,-1.6,-2.8,-0.9,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/27 19:20:00,712.389,756.683,-3.9,-2.8,-0.5,-0.6,,,0,0,0,-0.8,-1.7,-3,-1,-1,0,0,,,,,,,-173463.5697,-1716.9511,45.8136,,,,,,,,,,,,,0,-8,0,0,0,0,0,,,-0.8,-1.7,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/11/29 18:02:00,712.388,763.2,-3.7,-2.7,-0.6,-0.4,,-1.5,0,0,0,-0.8,-1.8,-3,-1.3,-1.7,0,0,-173467.7783,-1720.2659,49.8373,,,,-173463.5671,-1716.9482,45.8133,,,,-173463.4601,-1716.9373,43.3531,,,,,,,0,-8,0,0,0,0,0,,,-0.8,-1.8,-3,-1.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,715,SP 5575+7.000,2014/12/01 19:24:00,756.402,763.2,-3.8,-2.6,-0.5,-0.3,,,0,0,0,-0.7,-1.8,-3.1,-1.2,-1.2,0,0,-173440.6268,-1754.7495,50.9766,-173472.8601,-1724.2334,45.8283,-173463.5688,-1716.9504,45.813,-173472.8013,-1724.4198,43.3238,-173463.4586,-1716.9358,43.353,,,,,,,0,-8,0,0,0,0,0,,,-0.7,-1.8,-3.1,-1.2,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
