Œﬂ≤›ƒñºèÃ,TD(m),Çwç¿ïW(m),Çxç¿ïW(m),çÇÇ≥(m),ï˚à (deg),ÀﬂØ¡›∏ﬁ(deg)
654+5.000       ,77,-102105.2836,-10343.04444,53.79,249.514233,0.859372244
654+4.000       ,78,-102105.6336,-10343.98117,53.805,249.5027739,0.859372244
654+3.000       ,79,-102105.9839,-10344.91782,53.82,249.4913147,0.859372244
654+2.000       ,80,-102106.3343,-10345.85441,53.835,249.4798556,0.859372244
654+1.000       ,81,-102106.685,-10346.79092,53.85,249.4683964,0.859372244
654+0.000       ,82,-102107.0358,-10347.72736,53.865,249.4569372,0.859372244
653+99.000      ,83,-102107.3868,-10348.66374,53.88,249.4454781,0.859372244
653+98.000      ,84,-102107.738,-10349.60004,53.895,249.4340189,0.859372244
653+97.000      ,85,-102108.0894,-10350.53627,53.91,249.4225598,0.859372244
653+96.000      ,86,-102108.4409,-10351.47244,53.925,249.4111006,0.859372244
653+95.000      ,87,-102108.7927,-10352.40853,53.94,249.3996415,0.859372244
653+94.000      ,88,-102109.1446,-10353.34455,53.955,249.3881823,0.859372244
653+93.000      ,89,-102109.4968,-10354.2805,53.97,249.3767232,0.859372244
653+92.000      ,90,-102109.8491,-10355.21639,53.985,249.365264,0.859372244
653+91.000      ,91,-102110.2016,-10356.1522,54,249.3538048,0.859372244
653+90.000      ,92,-102110.5543,-10357.08794,54.015,249.3423457,0.859372244
653+89.000      ,93,-102110.9071,-10358.02361,54.03,249.3308865,0.859372244
653+88.000      ,94,-102111.2602,-10358.95921,54.045,249.3194274,0.859372244
653+87.000      ,95,-102111.6135,-10359.89473,54.06,249.3079682,0.859372244
653+86.000      ,96,-102111.9669,-10360.83019,54.075,249.2965091,0.859372244
653+85.000      ,97,-102112.3205,-10361.76558,54.09,249.2850499,0.859372244
653+84.000      ,98,-102112.6743,-10362.70089,54.105,249.2735908,0.859372244
653+83.000      ,99,-102113.0283,-10363.63614,54.12,249.2621316,0.859372244
653+82.000      ,100,-102113.3825,-10364.57132,54.135,249.2506724,0.859372244
653+81.000      ,101,-102113.7369,-10365.50642,54.15,249.2392133,0.859372244
653+80.000      ,102,-102114.0914,-10366.44145,54.165,249.2277541,0.859372244
653+79.000      ,103,-102114.4462,-10367.37641,54.18,249.216295,0.859372244
653+78.000      ,104,-102114.8011,-10368.31131,54.195,249.2048358,0.859372244
653+77.000      ,105,-102115.1563,-10369.24613,54.21,249.1933767,0.859372244
653+76.000      ,106,-102115.5116,-10370.18087,54.225,249.1819175,0.859372244
653+75.000      ,107,-102115.8671,-10371.11555,54.24,249.1704583,0.859372244
653+74.000      ,108,-102116.2227,-10372.05016,54.255,249.1589992,0.859372244
653+73.000      ,109,-102116.5786,-10372.9847,54.27,249.14754,0.859372244
653+72.000      ,110,-102116.9347,-10373.91916,54.285,249.1360809,0.859372244
653+71.000      ,111,-102117.2909,-10374.85355,54.3,249.1246217,0.859372244
653+70.000      ,112,-102117.6473,-10375.78788,54.315,249.1131626,0.859372244
653+69.000      ,113,-102118.004,-10376.72213,54.33,249.1017034,0.859372244
653+68.000      ,114,-102118.3608,-10377.65631,54.345,249.0902443,0.859372244
653+67.000      ,115,-102118.7177,-10378.59041,54.36,249.0787851,0.859372244
653+66.000      ,116,-102119.0749,-10379.52445,54.375,249.0673259,0.859372244
653+65.000      ,117,-102119.4323,-10380.45842,54.39,249.0558668,0.859372244
653+64.000      ,118,-102119.7898,-10381.39231,54.405,249.0444076,0.859372244
653+63.000      ,119,-102120.1476,-10382.32613,54.42,249.0329485,0.859372244
653+62.000      ,120,-102120.5055,-10383.25988,54.435,249.0214893,0.859372244
653+61.000      ,121,-102120.8636,-10384.19356,54.45,249.0100302,0.859372244
653+60.000      ,122,-102121.2219,-10385.12717,54.465,248.998571,0.859372244
653+59.000      ,123,-102121.5804,-10386.0607,54.48,248.9871119,0.859372244
653+58.000      ,124,-102121.9391,-10386.99417,54.495,248.9756527,0.859372244
653+57.000      ,125,-102122.2979,-10387.92756,54.51,248.9641935,0.859372244
653+56.000      ,126,-102122.657,-10388.86088,54.525,248.9527344,0.859372244
653+55.000      ,127,-102123.0162,-10389.79413,54.54,248.9412752,0.859372244
653+54.000      ,128,-102123.3756,-10390.72731,54.555,248.9298161,0.859372244
653+53.000      ,129,-102123.7352,-10391.66041,54.57,248.9183569,0.859372244
653+52.000      ,130,-102124.095,-10392.59344,54.585,248.9068978,0.859372244
653+51.000      ,131,-102124.455,-10393.5264,54.6,248.8954386,0.859372244
653+50.000      ,132,-102124.8152,-10394.45929,54.615,248.8839795,0.859372244
653+49.000      ,133,-102125.1755,-10395.39211,54.63,248.8725203,0.859372244
653+48.000      ,134,-102125.536,-10396.32485,54.645,248.8610611,0.859372244
653+47.000      ,135,-102125.8968,-10397.25753,54.66,248.849602,0.859372244
653+46.000      ,136,-102126.2577,-10398.19013,54.675,248.8381428,0.859372244
653+45.000      ,137,-102126.6188,-10399.12266,54.69,248.8266837,0.859372244
653+44.000      ,138,-102126.9801,-10400.05511,54.705,248.8152245,0.859372244
653+43.000      ,139,-102127.3415,-10400.9875,54.72,248.8037654,0.859372244
653+42.000      ,140,-102127.7032,-10401.91981,54.735,248.7923062,0.859372244
653+41.000      ,141,-102128.065,-10402.85205,54.75,248.780847,0.859372244
653+40.000      ,142,-102128.4271,-10403.78421,54.765,248.7693879,0.859372244
653+39.000      ,143,-102128.7893,-10404.71631,54.78,248.7579287,0.859372244
653+38.000      ,144,-102129.1517,-10405.64833,54.795,248.7464696,0.859372244
653+37.000      ,145,-102129.5143,-10406.58028,54.81,248.7350104,0.859372244
