Œﬂ≤›ƒñºèÃ,TD(m),Çwç¿ïW(m),Çxç¿ïW(m),çÇÇ≥(m),ï˚à (deg),ÀﬂØ¡›∏ﬁ(deg)
644+50.000      ,1032,-102483.9439,-11218.9549,67.67396279,252.2406642,0.49855917
644+49.000      ,1033,-102484.2487,-11219.90733,67.68263976,252.269312,0.495980837
644+48.000      ,1034,-102484.553,-11220.8599,67.69127172,252.2979599,0.493402501
644+47.000      ,1035,-102484.8568,-11221.81263,67.69985868,252.3266078,0.490824164
644+46.000      ,1036,-102485.1602,-11222.76551,67.70840064,252.3552557,0.488245824
644+45.000      ,1037,-102485.4631,-11223.71854,67.71689759,252.3839036,0.485667483
644+44.000      ,1038,-102485.7655,-11224.67172,67.72534953,252.4125515,0.48308914
644+43.000      ,1039,-102486.0674,-11225.62505,67.73375648,252.4411994,0.480510794
644+42.000      ,1040,-102486.3688,-11226.57853,67.74211842,252.4698473,0.477932447
644+41.000      ,1041,-102486.6698,-11227.53217,67.75043535,252.4984952,0.475354098
644+40.000      ,1042,-102486.9703,-11228.48595,67.75870729,252.527143,0.472775747
644+39.000      ,1043,-102487.2703,-11229.43989,67.76693422,252.5557909,0.470197394
644+38.000      ,1044,-102487.5699,-11230.39397,67.77511614,252.5844388,0.467619039
644+37.000      ,1045,-102487.8689,-11231.3482,67.78325306,252.6130867,0.465040682
644+36.000      ,1046,-102488.1675,-11232.30259,67.79134498,252.6417346,0.462462324
644+35.000      ,1047,-102488.4656,-11233.25712,67.79939189,252.6703825,0.459883963
644+34.000      ,1048,-102488.7632,-11234.2118,67.8073938,252.6990304,0.457305601
644+33.000      ,1049,-102489.0604,-11235.16663,67.81535071,252.7276783,0.454727236
644+32.000      ,1050,-102489.3571,-11236.12161,67.82326261,252.7563262,0.45214887
644+31.000      ,1051,-102489.6533,-11237.07674,67.83112951,252.7849741,0.449570502
644+30.000      ,1052,-102489.949,-11238.03201,67.8389514,252.8136219,0.446992132
644+29.000      ,1053,-102490.2442,-11238.98743,67.84672829,252.8422698,0.444413761
644+28.000      ,1054,-102490.539,-11239.943,67.85446018,252.8709177,0.441835388
644+27.000      ,1055,-102490.8333,-11240.89872,67.86214706,252.8995656,0.439257012
644+26.000      ,1056,-102491.1271,-11241.85459,67.86978894,252.9282135,0.436678635
644+25.000      ,1057,-102491.4204,-11242.8106,67.87738582,252.9568614,0.434100257
644+24.000      ,1058,-102491.7133,-11243.76675,67.88493769,252.9855093,0.431521876
644+23.000      ,1059,-102492.0056,-11244.72306,67.89244456,253.0141572,0.428943494
644+22.000      ,1060,-102492.2975,-11245.67951,67.89990642,253.0428051,0.42636511
644+21.000      ,1061,-102492.589,-11246.6361,67.90732328,253.071453,0.423786724
644+20.000      ,1062,-102492.8799,-11247.59284,67.91469514,253.1001008,0.421208337
644+19.000      ,1063,-102493.1704,-11248.54973,67.92202199,253.1287487,0.418629948
644+18.000      ,1064,-102493.4603,-11249.50676,67.92930384,253.1573966,0.416051557
644+17.000      ,1065,-102493.7498,-11250.46394,67.93654068,253.1860445,0.413473165
644+16.000      ,1066,-102494.0389,-11251.42126,67.94373253,253.2146924,0.41089477
644+15.000      ,1067,-102494.3274,-11252.37873,67.95087936,253.2433403,0.408316374
644+14.000      ,1068,-102494.6155,-11253.33634,67.9579812,253.2719882,0.405737977
644+13.000      ,1069,-102494.9031,-11254.29409,67.96503803,253.3006361,0.403159578
644+12.000      ,1070,-102495.1902,-11255.25199,67.97204985,253.329284,0.400581177
644+11.000      ,1071,-102495.4768,-11256.21003,67.97901668,253.3579319,0.398002775
644+10.000      ,1072,-102495.763,-11257.16821,67.98593849,253.3865797,0.395424371
644+9.000       ,1073,-102496.0486,-11258.12654,67.99281531,253.4152276,0.392845965
644+8.000       ,1074,-102496.3338,-11259.08501,67.99964712,253.4438755,0.390267558
644+7.000       ,1075,-102496.6186,-11260.04362,68.00643393,253.4725234,0.387689149
644+6.000       ,1076,-102496.9028,-11261.00238,68.01317573,253.5011713,0.385110739
644+5.000       ,1077,-102497.1865,-11261.96127,68.01987253,253.5298192,0.382532327
644+4.000       ,1078,-102497.4698,-11262.92031,68.02652432,253.5584671,0.379953913
644+3.000       ,1079,-102497.7526,-11263.87949,68.03313112,253.587115,0.377375499
644+2.000       ,1080,-102498.0349,-11264.83881,68.0396929,253.6157629,0.374797082
644+1.000       ,1081,-102498.3168,-11265.79827,68.04620969,253.6444108,0.372218664
644+0.000       ,1082,-102498.5981,-11266.75788,68.05268147,253.6730586,0.369640244
643+99.000      ,1083,-102498.879,-11267.71762,68.05910825,253.7017065,0.367061823
643+98.000      ,1084,-102499.1594,-11268.6775,68.06549002,253.7303544,0.364483401
643+97.000      ,1085,-102499.4393,-11269.63753,68.07182679,253.7590023,0.361904977
643+96.000      ,1086,-102499.7188,-11270.59769,68.07811855,253.7876502,0.359326551
643+95.000      ,1087,-102499.9977,-11271.558,68.08436532,253.8162981,0.356748124
643+94.000      ,1088,-102500.2762,-11272.51844,68.09056707,253.844946,0.354169696
643+93.000      ,1089,-102500.5542,-11273.47902,68.09672383,253.8735939,0.351591266
643+92.000      ,1090,-102500.8317,-11274.43974,68.10283558,253.9022418,0.349012835
643+91.000      ,1091,-102501.1087,-11275.4006,68.10890232,253.9308896,0.346434402
643+90.000      ,1092,-102501.3853,-11276.3616,68.11492407,253.9595375,0.343855968
643+89.000      ,1093,-102501.6614,-11277.32273,68.12090081,253.9881854,0.341277533
643+88.000      ,1094,-102501.937,-11278.28401,68.12683254,254.0168333,0.338699096
643+87.000      ,1095,-102502.2121,-11279.24542,68.13271927,254.0454812,0.336120658
643+86.000      ,1096,-102502.4867,-11280.20697,68.138561,254.0741291,0.333542218
643+85.000      ,1097,-102502.7609,-11281.16865,68.14435772,254.102777,0.330963777
643+84.000      ,1098,-102503.0346,-11282.13048,68.15010944,254.1314249,0.328385335
643+83.000      ,1099,-102503.3077,-11283.09244,68.15581616,254.1600728,0.325806892
643+82.000      ,1100,-102503.5805,-11284.05453,68.16147787,254.1887207,0.323228447
643+81.000      ,1101,-102503.8527,-11285.01676,68.16709458,254.2173685,0.320650001
643+80.000      ,1102,-102504.1244,-11285.97913,68.17266628,254.2460164,0.318071553
643+79.000      ,1103,-102504.3957,-11286.94164,68.17819298,254.2746643,0.315493104
643+78.000      ,1104,-102504.6665,-11287.90428,68.18367468,254.3033122,0.312914654
643+77.000      ,1105,-102504.9368,-11288.86705,68.18911137,254.3319601,0.310336203
643+76.000      ,1106,-102505.2066,-11289.82996,68.19450306,254.360608,0.30775775
643+75.000      ,1107,-102505.4759,-11290.79301,68.19984975,254.3892559,0.305179296
643+74.000      ,1108,-102505.7448,-11291.75619,68.20515143,254.4179038,0.302600841
643+73.000      ,1109,-102506.0132,-11292.7195,68.21040811,254.4465517,0.300022385
643+72.000      ,1110,-102506.2811,-11293.68295,68.21561978,254.4751996,0.297443928
643+71.000      ,1111,-102506.5485,-11294.64653,68.22078645,254.5038474,0.294865469
643+70.000      ,1112,-102506.8154,-11295.61024,68.22590812,254.5324953,0.292287009
643+69.000      ,1113,-102507.0819,-11296.57409,68.23098478,254.5611432,0.289708548
643+68.000      ,1114,-102507.3479,-11297.53807,68.23601644,254.5897911,0.287130086
643+67.000      ,1115,-102507.6133,-11298.50219,68.2410031,254.618439,0.284551622
643+66.000      ,1116,-102507.8783,-11299.46644,68.24594475,254.6470869,0.281973158
643+65.000      ,1117,-102508.1429,-11300.43082,68.2508414,254.6757348,0.279394692
643+64.000      ,1118,-102508.4069,-11301.39533,68.25569304,254.7043827,0.276816225
643+63.000      ,1119,-102508.6705,-11302.35997,68.26049968,254.7330306,0.274237757
643+62.000      ,1120,-102508.9335,-11303.32475,68.26526132,254.7616785,0.271659288
643+61.000      ,1121,-102509.1961,-11304.28965,68.26997795,254.7903263,0.269080818
643+60.000      ,1122,-102509.4582,-11305.25469,68.27464958,254.8189742,0.266502346
643+59.000      ,1123,-102509.7199,-11306.21986,68.2792762,254.8476221,0.263923874
643+58.000      ,1124,-102509.981,-11307.18516,68.28385782,254.87627,0.261345401
643+57.000      ,1125,-102510.2417,-11308.15059,68.28839444,254.9049179,0.258766926
643+56.000      ,1126,-102510.5019,-11309.11615,68.29288605,254.9335658,0.256188451
643+55.000      ,1127,-102510.7616,-11310.08184,68.29733266,254.9622137,0.253609974
643+54.000      ,1128,-102511.0208,-11311.04766,68.30173427,254.9908616,0.251031496
643+53.000      ,1129,-102511.2795,-11312.01361,68.30609087,255.0195095,0.248453018
643+52.000      ,1130,-102511.5378,-11312.97969,68.31040247,255.0481573,0.245874538
643+51.000      ,1131,-102511.7955,-11313.94589,68.31466906,255.0768052,0.243296057
643+50.000      ,1132,-102512.0528,-11314.91223,68.31889066,255.1054531,0.240717576
643+49.000      ,1133,-102512.3096,-11315.87869,68.32306724,255.134101,0.238139093
643+48.000      ,1134,-102512.5659,-11316.84529,68.32719883,255.1627489,0.23556061
643+47.000      ,1135,-102512.8217,-11317.81201,68.3312854,255.1913968,0.232982125
643+46.000      ,1136,-102513.0771,-11318.77886,68.33532698,255.2200447,0.23040364
643+45.000      ,1137,-102513.332,-11319.74583,68.33932355,255.2486926,0.227825153
643+44.000      ,1138,-102513.5863,-11320.71294,68.34327512,255.2773405,0.225246666
643+43.000      ,1139,-102513.8402,-11321.68017,68.34718168,255.3059884,0.222668178
643+42.000      ,1140,-102514.0937,-11322.64753,68.35104324,255.3346362,0.220089689
643+41.000      ,1141,-102514.3466,-11323.61501,68.3548598,255.3632841,0.217511199
643+40.000      ,1142,-102514.599,-11324.58262,68.35863135,255.391932,0.214932708
643+39.000      ,1143,-102514.851,-11325.55036,68.36235791,255.4205799,0.212354634
643+38.000      ,1144,-102515.1025,-11326.51822,68.36603946,255.4492278,0.209776576
643+37.000      ,1145,-102515.3535,-11327.48621,68.36967602,255.4778757,0.207198518
643+36.000      ,1146,-102515.604,-11328.45432,68.37326759,255.5065236,0.204620459
643+35.000      ,1147,-102515.854,-11329.42256,68.37681416,255.5351715,0.202042399
643+34.000      ,1148,-102516.1036,-11330.39092,68.38031573,255.5638194,0.199464338
643+33.000      ,1149,-102516.3526,-11331.35941,68.3837723,255.5924673,0.196886276
643+32.000      ,1150,-102516.6012,-11332.32802,68.38718388,255.6211151,0.194308213
643+31.000      ,1151,-102516.8493,-11333.29676,68.39055047,255.649763,0.19173015
643+30.000      ,1152,-102517.0969,-11334.26562,68.39387205,255.6784109,0.189152086
643+29.000      ,1153,-102517.344,-11335.23461,68.39714864,255.7070588,0.186574021
643+28.000      ,1154,-102517.5907,-11336.20371,68.40038024,255.7357067,0.183995955
643+27.000      ,1155,-102517.8368,-11337.17295,68.40356684,255.7643546,0.181417889
643+26.000      ,1156,-102518.0825,-11338.1423,68.40670844,255.7930025,0.178839822
643+25.000      ,1157,-102518.3277,-11339.11178,68.40980504,255.8216504,0.176261754
643+24.000      ,1158,-102518.5724,-11340.08138,68.41285665,255.8502983,0.173683686
643+23.000      ,1159,-102518.8166,-11341.0511,68.41586327,255.8789462,0.171105616
643+22.000      ,1160,-102519.0603,-11342.02094,68.41882488,255.907594,0.168527546
643+21.000      ,1161,-102519.3035,-11342.99091,68.42174151,255.9362419,0.165949476
643+20.000      ,1162,-102519.5463,-11343.96099,68.42461313,255.9648898,0.163371404
643+19.000      ,1163,-102519.7886,-11344.9312,68.42743976,255.9935377,0.160793333
643+18.000      ,1164,-102520.0304,-11345.90153,68.43022139,256.0221856,0.15821526
643+17.000      ,1165,-102520.2717,-11346.87198,68.43295803,256.0508335,0.155637187
643+16.000      ,1166,-102520.5125,-11347.84255,68.43564967,256.0794814,0.153059113
643+15.000      ,1167,-102520.7528,-11348.81324,68.43829631,256.1081293,0.150481038
643+14.000      ,1168,-102520.9927,-11349.78405,68.44089796,256.1367772,0.147902963
643+13.000      ,1169,-102521.232,-11350.75498,68.44345461,256.165425,0.145324888
643+12.000      ,1170,-102521.4709,-11351.72603,68.44596627,256.1940729,0.142746811
643+11.000      ,1171,-102521.7093,-11352.6972,68.44843293,256.2227208,0.140168734
643+10.000      ,1172,-102521.9472,-11353.66849,68.45085459,256.2513687,0.137590657
643+9.000       ,1173,-102522.1846,-11354.63989,68.45323126,256.2800166,0.135012579
643+8.000       ,1174,-102522.4216,-11355.61142,68.45556293,256.3086645,0.1324345
643+7.000       ,1175,-102522.658,-11356.58306,68.4578496,256.3373124,0.129856421
643+6.000       ,1176,-102522.894,-11357.55483,68.46009128,256.3659603,0.127278342
643+5.000       ,1177,-102523.1294,-11358.52671,68.46228796,256.3946082,0.124700262
643+4.000       ,1178,-102523.3644,-11359.4987,68.46443965,256.4232561,0.122122181
643+3.000       ,1179,-102523.5989,-11360.47082,68.46654634,256.4519039,0.1195441
643+2.000       ,1180,-102523.833,-11361.44305,68.46860803,256.4805518,0.116966018
643+1.000       ,1181,-102524.0665,-11362.4154,68.47062473,256.5091997,0.114387936
643+0.000       ,1182,-102524.2995,-11363.38787,68.47259643,256.5378476,0.111809854
642+99.000      ,1183,-102524.5321,-11364.36045,68.47452313,256.5664955,0.109231771
642+98.000      ,1184,-102524.7642,-11365.33315,68.47640484,256.5951434,0.106653687
642+97.000      ,1185,-102524.9958,-11366.30596,68.47824155,256.6237913,0.104075603
642+96.000      ,1186,-102525.2269,-11367.27889,68.48003327,256.6524392,0.101497519
642+95.000      ,1187,-102525.4575,-11368.25194,68.48177999,256.6810871,9.89E-02
642+94.000      ,1188,-102525.6876,-11369.2251,68.48348171,256.709735,9.63E-02
642+93.000      ,1189,-102525.9172,-11370.19837,68.48513844,256.7383828,9.38E-02
642+92.000      ,1190,-102526.1464,-11371.17176,68.48675017,256.7670307,0.091185178
642+91.000      ,1191,-102526.3751,-11372.14527,68.48831691,256.7956786,8.86E-02
642+90.000      ,1192,-102526.6032,-11373.11888,68.48983864,256.8243265,8.60E-02
642+89.000      ,1193,-102526.8309,-11374.09262,68.49131539,256.8529744,8.35E-02
642+88.000      ,1194,-102527.0581,-11375.06646,68.49274713,256.8816223,8.09E-02
642+87.000      ,1195,-102527.2849,-11376.04042,68.49413388,256.9102702,7.83E-02
642+86.000      ,1196,-102527.5111,-11377.0145,68.49547564,256.9389181,7.57E-02
642+85.000      ,1197,-102527.7368,-11377.98868,68.4967724,256.967566,7.31E-02
64284.05,1197.946,-102527.9499,-11378.91037,68.49795771,256.9946669,7.07E-02
642+84.000      ,1198,-102527.9621,-11378.96298,68.49802416,256.9962137,7.06E-02
642+83.000      ,1199,-102528.1869,-11379.93739,68.49923092,257.0247968,6.80E-02
642+82.000      ,1200,-102528.4112,-11380.91192,68.50039269,257.053263,6.54E-02
642+81.000      ,1201,-102528.635,-11381.88655,68.50150946,257.0816122,6.28E-02
642+80.000      ,1202,-102528.8583,-11382.8613,68.50258124,257.1098445,6.02E-02
642+79.000      ,1203,-102529.0811,-11383.83615,68.50360802,257.1379599,5.77E-02
642+78.000      ,1204,-102529.3035,-11384.81111,68.50458981,257.1659584,5.51E-02
642+77.000      ,1205,-102529.5254,-11385.78618,68.50552659,257.1938399,5.25E-02
642+76.000      ,1206,-102529.7468,-11386.76136,68.50641839,257.2216045,4.99E-02
642+75.000      ,1207,-102529.9677,-11387.73665,68.50726518,257.2492522,4.74E-02
642+74.000      ,1208,-102530.1882,-11388.71204,68.50806698,257.2767829,4.48E-02
642+73.000      ,1209,-102530.4082,-11389.68754,68.50882378,257.3041967,4.22E-02
642+72.000      ,1210,-102530.6278,-11390.66314,68.50953559,257.3314936,3.96E-02
642+71.000      ,1211,-102530.8469,-11391.63885,68.5102024,257.3586736,3.70E-02
642+70.000      ,1212,-102531.0655,-11392.61466,68.51082422,257.3857366,3.45E-02
642+69.000      ,1213,-102531.2836,-11393.59058,68.51140104,257.4126827,3.19E-02
642+68.000      ,1214,-102531.5013,-11394.56659,68.51193286,257.4395118,2.93E-02
642+67.000      ,1215,-102531.7186,-11395.54271,68.51241968,257.4662241,2.67E-02
642+66.000      ,1216,-102531.9354,-11396.51893,68.51286151,257.4928194,2.42E-02
642+65.000      ,1217,-102532.1517,-11397.49525,68.51325835,257.5192977,2.16E-02
642+64.000      ,1218,-102532.3676,-11398.47166,68.51361019,257.5456592,0.018998662
642+63.000      ,1219,-102532.583,-11399.44818,68.51391703,257.5719037,1.64E-02
642+62.000      ,1220,-102532.798,-11400.42481,68.51417887,257.5980312,0.013842477
642+61.000      ,1221,-102533.0126,-11401.40152,68.51439572,257.6240419,1.13E-02
642+60.000      ,1222,-102533.2267,-11402.37833,68.51456757,257.6499356,8.69E-03
642+59.000      ,1223,-102533.4403,-11403.35524,68.51469443,257.6757124,6.11E-03
642+58.000      ,1224,-102533.6535,-11404.33224,68.51477629,257.7013723,3.53E-03
642+57.000      ,1225,-102533.8663,-11405.30934,68.51481315,257.7269152,9.52E-04
642+56.000      ,1226,-102534.0787,-11406.28653,68.51480502,257.7523412,-1.63E-03
642+55.000      ,1227,-102534.2906,-11407.26382,68.51475189,257.7776502,-4.20E-03
642+54.000      ,1228,-102534.5021,-11408.2412,68.51465377,257.8028424,-6.78E-03
642+53.000      ,1229,-102534.7132,-11409.21867,68.51451065,257.8279176,-9.36E-03
642+52.000      ,1230,-102534.9238,-11410.19623,68.51432253,257.8528759,-1.19E-02
642+51.000      ,1231,-102535.134,-11411.17389,68.51408942,257.8777172,-1.45E-02
642+50.000      ,1232,-102535.3438,-11412.15163,68.51381131,257.9024416,-1.71E-02
642+49.000      ,1233,-102535.5532,-11413.12947,68.5134882,257.9270491,-1.97E-02
642+48.000      ,1234,-102535.7621,-11414.1074,68.5131201,257.9515397,-2.23E-02
642+47.000      ,1235,-102535.9706,-11415.08541,68.512707,257.9759133,-2.48E-02
642+46.000      ,1236,-102536.1788,-11416.06352,68.51224891,258.00017,-2.74E-02
642+45.000      ,1237,-102536.3865,-11417.04171,68.51174582,258.0243097,-3.00E-02
642+44.000      ,1238,-102536.5938,-11418.01999,68.51119773,258.0483326,-3.26E-02
642+43.000      ,1239,-102536.8006,-11418.99835,68.51060465,258.0722385,-3.51E-02
642+42.000      ,1240,-102537.0071,-11419.97681,68.50996657,258.0960275,-3.77E-02
642+41.000      ,1241,-102537.2132,-11420.95534,68.5092835,258.1196995,-4.03E-02
642+40.000      ,1242,-102537.4188,-11421.93397,68.50855542,258.1432546,-4.29E-02
642+39.000      ,1243,-102537.6241,-11422.91267,68.50778236,258.1666928,-4.55E-02
642+38.000      ,1244,-102537.829,-11423.89146,68.50696429,258.190014,-4.80E-02
642+37.000      ,1245,-102538.0334,-11424.87034,68.50610123,258.2132184,-5.06E-02
642+36.000      ,1246,-102538.2375,-11425.84929,68.50519318,258.2363058,-5.32E-02
642+35.000      ,1247,-102538.4412,-11426.82833,68.50424012,258.2592762,-5.58E-02
642+34.000      ,1248,-102538.6445,-11427.80745,68.50324208,258.2821298,-5.83E-02
642+33.000      ,1249,-102538.8474,-11428.78665,68.50219903,258.3048664,-6.09E-02
642+32.000      ,1250,-102539.0499,-11429.76593,68.50111099,258.327486,-6.35E-02
642+31.000      ,1251,-102539.252,-11430.74529,68.49997795,258.3499888,-6.61E-02
642+30.000      ,1252,-102539.4538,-11431.72473,68.49879992,258.3723746,-6.87E-02
642+29.000      ,1253,-102539.6551,-11432.70424,68.49757689,258.3946435,-7.12E-02
642+28.000      ,1254,-102539.8561,-11433.68384,68.49630886,258.4167954,-7.38E-02
642+27.000      ,1255,-102540.0567,-11434.66351,68.49499584,258.4388304,-7.64E-02
642+26.000      ,1256,-102540.2569,-11435.64326,68.49363782,258.4607485,-7.90E-02
642+25.000      ,1257,-102540.4568,-11436.62309,68.49223481,258.4825497,-8.15E-02
642+24.000      ,1258,-102540.6563,-11437.60299,68.4907868,258.5042339,-8.41E-02
642+23.000      ,1259,-102540.8554,-11438.58296,68.48929379,258.5258012,-8.67E-02
642+22.000      ,1260,-102541.0541,-11439.56302,68.48775579,258.5472516,-8.93E-02
642+21.000      ,1261,-102541.2525,-11440.54314,68.48617279,258.568585,-9.19E-02
642+20.000      ,1262,-102541.4505,-11441.52334,68.48454479,258.5898015,-9.44E-02
642+19.000      ,1263,-102541.6482,-11442.50361,68.4828718,258.6109011,-9.70E-02
642+18.000      ,1264,-102541.8455,-11443.48396,68.48115381,258.6318838,-9.96E-02
642+17.000      ,1265,-102542.0424,-11444.46438,68.47939083,258.6527495,-0.102171581
642+16.000      ,1266,-102542.239,-11445.44486,68.47758285,258.6734983,-0.104749665
642+15.000      ,1267,-102542.4352,-11446.42542,68.47572987,258.6941301,-0.107327749
642+14.000      ,1268,-102542.6311,-11447.40605,68.4738319,258.7146451,-0.109905832
642+13.000      ,1269,-102542.8266,-11448.38675,68.47188893,258.7350431,-0.112483915
642+12.000      ,1270,-102543.0217,-11449.36752,68.46990097,258.7553241,-0.115061997
642+11.000      ,1271,-102543.2166,-11450.34836,68.46786801,258.7754883,-0.117640079
642+10.000      ,1272,-102543.4111,-11451.32926,68.46579005,258.7955355,-0.120218161
642+9.000       ,1273,-102543.6052,-11452.31024,68.46366709,258.8154658,-0.122796242
642+8.000       ,1274,-102543.799,-11453.29128,68.46149914,258.8352791,-0.125374322
642+7.000       ,1275,-102543.9925,-11454.27239,68.4592862,258.8549755,-0.127952402
642+6.000       ,1276,-102544.1856,-11455.25356,68.45702826,258.874555,-0.130530481
642+5.000       ,1277,-102544.3784,-11456.2348,68.45472532,258.8940176,-0.13310856
642+4.000       ,1278,-102544.5708,-11457.21611,68.45237738,258.9133632,-0.135686639
642+3.000       ,1279,-102544.763,-11458.19748,68.44998445,258.9325919,-0.138264717
642+2.000       ,1280,-102544.9548,-11459.17891,68.44754652,258.9517037,-0.140842794
642+1.000       ,1281,-102545.1462,-11460.16041,68.4450636,258.9706985,-0.143420871
642+0.000       ,1282,-102545.3374,-11461.14197,68.44253568,258.9895764,-0.145998947
641+99.000      ,1283,-102545.5282,-11462.12359,68.43996277,259.0083374,-0.148577022
641+98.000      ,1284,-102545.7187,-11463.10528,68.43734485,259.0269814,-0.151155097
641+97.000      ,1285,-102545.9089,-11464.08703,68.43468195,259.0455086,-0.153733172
641+96.000      ,1286,-102546.0988,-11465.06884,68.43197404,259.0639187,-0.156311245
641+95.000      ,1287,-102546.2883,-11466.0507,68.42922114,259.082212,-0.158889318
641+94.000      ,1288,-102546.4776,-11467.03263,68.42642324,259.1003883,-0.161467391
641+93.000      ,1289,-102546.6665,-11468.01462,68.42358035,259.1184477,-0.164045463
641+92.000      ,1290,-102546.8551,-11468.99667,68.42069246,259.1363902,-0.166623534
641+91.000      ,1291,-102547.0435,-11469.97878,68.41775958,259.1542157,-0.169201604
641+90.000      ,1292,-102547.2315,-11470.96095,68.41478169,259.1719243,-0.171779674
641+89.000      ,1293,-102547.4192,-11471.94317,68.41175882,259.189516,-0.174357743
641+88.000      ,1294,-102547.6066,-11472.92545,68.40869094,259.2069907,-0.176935811
641+87.000      ,1295,-102547.7937,-11473.90779,68.40557807,259.2243486,-0.179513879
641+86.000      ,1296,-102547.9805,-11474.89019,68.40242021,259.2415894,-0.182091946
641+85.000      ,1297,-102548.167,-11475.87264,68.39921734,259.2587134,-0.184670012
641+84.000      ,1298,-102548.3533,-11476.85514,68.39596949,259.2757204,-0.187248077
641+83.000      ,1299,-102548.5392,-11477.83771,68.39267663,259.2926105,-0.189826142
641+82.000      ,1300,-102548.7249,-11478.82032,68.38933878,259.3093837,-0.192404206
641+81.000      ,1301,-102548.9102,-11479.80299,68.38595593,259.3260399,-0.194982269
641+80.000      ,1302,-102549.0953,-11480.78572,68.38252809,259.3425792,-0.197560332
641+79.000      ,1303,-102549.2801,-11481.76849,68.37905525,259.3590016,-0.200138393
641+78.000      ,1304,-102549.4646,-11482.75132,68.37553741,259.375307,-0.202716454
641+77.000      ,1305,-102549.6488,-11483.7342,68.37197458,259.3914955,-0.205294514
641+76.000      ,1306,-102549.8328,-11484.71714,68.36836675,259.4075671,-0.207872573
641+75.000      ,1307,-102550.0165,-11485.70012,68.36471393,259.4235218,-0.210450631
641+74.000      ,1308,-102550.1999,-11486.68316,68.36101611,259.4393595,-0.213028688
641+73.000      ,1309,-102550.383,-11487.66625,68.35727329,259.4550803,-0.215606745
641+72.000      ,1310,-102550.5659,-11488.64938,68.35348548,259.4706842,-0.2181848
641+71.000      ,1311,-102550.7485,-11489.63257,68.34965267,259.4861711,-0.220762855
641+70.000      ,1312,-102550.9309,-11490.6158,68.34577486,259.5015411,-0.223340909
641+69.000      ,1313,-102551.1129,-11491.59909,68.34185206,259.5167942,-0.225918962
641+68.000      ,1314,-102551.2948,-11492.58242,68.33788426,259.5319303,-0.228497014
641+67.000      ,1315,-102551.4763,-11493.5658,68.33387147,259.5469495,-0.231075065
641+66.000      ,1316,-102551.6576,-11494.54923,68.32981368,259.5618518,-0.233653115
641+65.000      ,1317,-102551.8387,-11495.5327,68.32571089,259.5766372,-0.236231165
641+64.000      ,1318,-102552.0195,-11496.51622,68.32156311,259.5913056,-0.238809213
641+63.000      ,1319,-102552.2,-11497.49979,68.31737033,259.6058571,-0.24138726
641+62.000      ,1320,-102552.3803,-11498.4834,68.31313255,259.6202916,-0.243965307
641+61.000      ,1321,-102552.5603,-11499.46706,68.30884978,259.6346093,-0.246543352
641+60.000      ,1322,-102552.7401,-11500.45076,68.30452201,259.64881,-0.249121396
641+59.000      ,1323,-102552.9197,-11501.43451,68.30014925,259.6628937,-0.25169944
641+58.000      ,1324,-102553.099,-11502.4183,68.29573149,259.6768606,-0.254277482
641+57.000      ,1325,-102553.2781,-11503.40214,68.29126873,259.6907105,-0.256855523
641+56.000      ,1326,-102553.4569,-11504.38601,68.28676098,259.7044435,-0.259433563
641+55.000      ,1327,-102553.6356,-11505.36993,68.28220823,259.7180595,-0.262011603
641+54.000      ,1328,-102553.8139,-11506.3539,68.27761049,259.7315586,-0.264589641
641+53.000      ,1329,-102553.9921,-11507.3379,68.27296774,259.7449408,-0.267167678
641+52.000      ,1330,-102554.17,-11508.32195,68.26828001,259.7582061,-0.269745714
641+51.000      ,1331,-102554.3477,-11509.30603,68.26354727,259.7713544,-0.272323749
641+50.000      ,1332,-102554.5251,-11510.29016,68.25876954,259.7843858,-0.274901783
641+49.000      ,1333,-102554.7024,-11511.27433,68.25394682,259.7973003,-0.277479815
641+48.000      ,1334,-102554.8794,-11512.25854,68.2490791,259.8100978,-0.280057847
641+47.000      ,1335,-102555.0562,-11513.24278,68.24416638,259.8227784,-0.282635877
641+46.000      ,1336,-102555.2328,-11514.22707,68.23920866,259.8353421,-0.285213906
641+45.000      ,1337,-102555.4092,-11515.21139,68.23420595,259.8477888,-0.287791935
641+44.000      ,1338,-102555.5853,-11516.19575,68.22915825,259.8601187,-0.290369962
641+43.000      ,1339,-102555.7613,-11517.18015,68.22406554,259.8723316,-0.292947987
641+42.000      ,1340,-102555.937,-11518.16459,68.21892784,259.8844275,-0.295526012
641+41.000      ,1341,-102556.1125,-11519.14906,68.21374515,259.8964065,-0.298104035
641+40.000      ,1342,-102556.2879,-11520.13357,68.20851746,259.9082686,-0.300682057
641+39.000      ,1343,-102556.463,-11521.11812,68.20324477,259.9200138,-0.303260078
641+38.000      ,1344,-102556.6379,-11522.1027,68.19792708,259.931642,-0.305838098
641+37.000      ,1345,-102556.8126,-11523.08732,68.1925644,259.9431533,-0.308416117
641+36.000      ,1346,-102556.9872,-11524.07197,68.18715673,259.9545477,-0.310994134
641+35.000      ,1347,-102557.1615,-11525.05666,68.18170405,259.9658252,-0.31357215
641+34.000      ,1348,-102557.3356,-11526.04138,68.17620638,259.9769857,-0.316150165
641+33.000      ,1349,-102557.5096,-11527.02613,68.17066372,259.9880293,-0.318728178
641+32.000      ,1350,-102557.6833,-11528.01092,68.16507606,259.9989559,-0.32130619
