level_0,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,沈下量1,沈下量2,沈下量3,変位量A,変位量B,変位量C,切羽からの距離,計測経過日数,最終沈下量との差分1,最終沈下量との差分2,最終沈下量との差分3,最終変位量との差分A,最終変位量との差分B,最終変位量との差分C,index,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,左肩・圧縮強度,左肩・風化変質,左肩・割目間隔,左肩・割目状態,左肩割目の方向・平行,左肩・湧水量,左肩・劣化,左肩・評価点,天端・圧縮強度,天端・風化変質,天端・割目間隔,天端・割目状態,天端割目の方向・平行,天端・湧水量,天端・劣化,天端・評価点,右肩・圧縮強度,右肩・風化変質,右肩・割目間隔,右肩・割目状態,右肩割目の方向・平行,右肩・湧水量,右肩・劣化,右肩・評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,沈下量1_prediction,沈下量2_prediction,沈下量3_prediction,変位量A_prediction,変位量B_prediction,変位量C_prediction
0,2007-01-18,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,1.027000000000001,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-21.197000000000006,-21.52766666666664,-23.199999999999978,-9.757999999999988,-9.548000000000005,-3.8129999999999957
1,2007-01-19,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,6.027000000000001,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-6.506999999999998,-2.6935000000000002,-7.508499999999997,-2.2975000000000025,-0.1215000000000001,-3.011999999999999
2,2007-01-20,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,11.027000000000001,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-4.437,-2.4101666666666692,-2.876000000000001,-2.515333333333334,-1.238500000000001,-1.2946666666666677
3,2007-01-21,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,16.027,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-2.610500000000002,-2.243500000000002,-3.2244999999999973,-2.0424999999999986,-1.0855000000000004,-1.832
4,2007-01-22,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,21.027,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-6.611999999999997,-5.325500000000001,-7.311499999999998,-0.8073333333333332,-0.5954999999999996,-1.1874999999999993
5,2007-01-23,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,26.027,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-7.936500000000004,-5.220499999999995,-13.693000000000005,-1.969500000000001,-0.561,-0.9550000000000008
6,2007-01-24,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,31.027,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-7.708000000000006,-4.732999999999999,-13.537,-1.7450000000000019,-0.6175000000000002,-1.0529999999999995
7,2007-01-25,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,36.027,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-7.581000000000007,-4.227499999999997,-15.173000000000009,-2.318000000000002,-0.5919999999999996,-1.0510000000000006
8,2007-01-26,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,41.027,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-7.374000000000008,-3.320499999999997,-15.799500000000007,-2.2305000000000006,-0.52,-1.068
9,2007-01-27,10.0,9.0,STA 654+73,9.411,10.438,0.0,0.0,0.0,0.0,0.0,0.0,46.027,0,-31.0,-28.1,-23.9,4.1,-13.0,-11.0,0.0,200,250,8.0,4.000,420,10.0,2.0,31.0,24.75,4.0,4.0,4.0,4.0,0.0,2.0,2.0,20.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,18.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,43.0,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,-7.501000000000008,-3.1474999999999973,-16.20300000000001,-3.7655000000000003,-0.5530000000000004,-1.4104999999999996
