,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,沈下量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終沈下量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
2869,2007-11-07,653.0,734.0,STA 647+48,732.988,783.78,50.79099999999994,12,-4.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.2000000000000002,2,1,0,0,0,-1,-1,-0.8970000000000011,train
2870,2007-11-10,653.0,734.0,STA 647+48,732.989,796.837,63.847999999999956,15,-4.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.0999999999999996,2,1,0,0,0,-1,-1,-0.6410000000000005,train
2871,2007-11-17,653.0,734.0,STA 647+48,732.989,815.6,82.61099999999999,22,-5.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.7000000000000002,2,1,0,0,0,-1,-1,-0.5220000000000006,train
2872,2007-11-24,653.0,734.0,STA 647+48,732.989,831.0,98.01099999999997,29,-5.8,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.0,2,1,0,0,0,-1,-1,-0.010000000000000002,train
2873,2007-11-02,678.0,764.0,STA 647+18,763.101,765.833,2.731999999999971,0,0.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-5.6,2,1,0,0,0,-1,-1,-6.046000000000005,train
2874,2007-11-03,678.0,764.0,STA 647+18,763.102,768.8,5.698999999999955,1,-0.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-5.3,2,1,0,0,0,-1,-1,-6.2715,train
2875,2007-11-05,678.0,764.0,STA 647+18,763.097,771.733,8.631999999999948,3,-4.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.8999999999999995,2,1,0,0,0,-1,-1,-3.2889999999999997,train
2876,2007-11-06,678.0,764.0,STA 647+18,-117.9,778.39,15.288999999999987,4,-4.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.5999999999999996,2,1,0,0,0,-1,-1,-1.2704999999999986,train
2877,2007-11-07,678.0,764.0,STA 647+18,763.095,783.775,20.673999999999978,5,-4.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.0,2,1,0,0,0,-1,-1,-1.2780000000000002,train
2878,2007-11-10,678.0,764.0,STA 647+18,763.098,796.832,33.730999999999995,8,-4.9,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.6999999999999993,2,1,0,0,0,-1,-1,-1.126000000000001,train
