"Œﬂ≤›ƒñºèÃ","ãóó£(m)","Çwç¿ïW(m)","Çxç¿ïW(m)","çÇÇ≥(m)","ï˚à (deg)","ÀﬂØ¡›∏ﬁ(deg)"
"5621+3.000      ",259,-173747.586484152,-1363.583333813,31.1567879519123,308.037694474012,1.52370843111758
"5621+2.000      ",260,-173746.970304383,-1364.37093935692,31.1833879519123,308.037694474012,1.52370843111758
"5621+1.000      ",261,-173746.354124615,-1365.15854490084,31.2099879519123,308.037694474012,1.52370843111758
"5621+0.000      ",262,-173745.737944846,-1365.94615044476,31.2365879519123,308.037694474012,1.52370843111758
"5620+9.000      ",263,-173745.121765077,-1366.73375598869,31.2631879519123,308.037694474012,1.52370843111758
"5620+8.000      ",264,-173744.505585309,-1367.52136153261,31.2897879519123,308.037694474012,1.52370843111758
"5620+7.000      ",265,-173743.88940554,-1368.30896707653,31.3163879519123,308.037694474012,1.52370843111758
"5620+6.000      ",266,-173743.273225772,-1369.09657262046,31.3429879519123,308.037694474012,1.52370843111758
"5620+5.000      ",267,-173742.657046003,-1369.88417816438,31.3695879519123,308.037694474012,1.52370843111758
"5620+4.000      ",268,-173742.040866235,-1370.6717837083,31.3961879519123,308.037694474012,1.52370843111758
"5620+3.000      ",269,-173741.424686466,-1371.45938925222,31.4227879519123,308.037694474012,1.52370843111758
"5620+2.000      ",270,-173740.808506698,-1372.24699479615,31.4493879519123,308.037694474012,1.52370843111758
"5620+1.000      ",271,-173740.192326929,-1373.03460034007,31.4759879519123,308.037694474012,1.52370843111758
"5620+0.000      ",272,-173739.57614716,-1373.82220588399,31.5025879519123,308.037694474012,1.52370843111758
"5619+9.000      ",273,-173738.959967392,-1374.60981142791,31.5291879519123,308.037694474012,1.52370843111758
"5619+8.000      ",274,-173738.343787623,-1375.39741697184,31.5557879519123,308.037694474012,1.52370843111758
"5619+7.000      ",275,-173737.727607855,-1376.18502251576,31.5823879519123,308.037694474012,1.52370843111758
"5619+6.000      ",276,-173737.111428086,-1376.97262805968,31.6089879519123,308.037694474012,1.52370843111758
"5619+5.000      ",277,-173736.495248318,-1377.7602336036,31.6355879519123,308.037694474012,1.52370843111758
"5619+4.000      ",278,-173735.879068549,-1378.54783914753,31.6621879519123,308.037694474012,1.52370843111758
"5619+3.000      ",279,-173735.262888781,-1379.33544469145,31.6887879519123,308.037694474012,1.52370843111758
"5619+2.000      ",280,-173734.646709012,-1380.12305023537,31.7153879519123,308.037694474012,1.52370843111758
"5619+1.000      ",281,-173734.030529243,-1380.9106557793,31.7419879519123,308.037694474012,1.52370843111758
"5619+0.000      ",282,-173733.414349475,-1381.69826132322,31.7685879519123,308.037694474012,1.52370843111758
"5618+9.000      ",283,-173732.798169706,-1382.48586686714,31.7951879519123,308.037694474012,1.52370843111758
"5618+8.000      ",284,-173732.181989938,-1383.27347241106,31.8217879519123,308.037694474012,1.52370843111758
"5618+7.000      ",285,-173731.565810169,-1384.06107795499,31.8483879519123,308.037694474012,1.52370843111758
"5618+6.000      ",286,-173730.949630401,-1384.84868349891,31.8749879519123,308.037694474012,1.52370843111758
"5618+5.000      ",287,-173730.333450632,-1385.63628904283,31.9015879519123,308.037694474012,1.52370843111758
"5618+4.000      ",288,-173729.717270864,-1386.42389458675,31.9281879519123,308.037694474012,1.52370843111758
"5618+3.000      ",289,-173729.101091095,-1387.21150013068,31.9547879519123,308.037694474012,1.52370843111758
"5618+2.000      ",290,-173728.484911326,-1387.9991056746,31.9813879519123,308.037694474012,1.52370843111758
"5618+1.000      ",291,-173727.868731558,-1388.78671121852,32.0079879519123,308.037694474012,1.52370843111758
"5618+0.000      ",292,-173727.252551789,-1389.57431676244,32.0345879519123,308.037694474012,1.52370843111758
"5617+9.000      ",293,-173726.636372021,-1390.36192230637,32.0611879519123,308.037694474012,1.52370843111758
"5617+8.000      ",294,-173726.020192252,-1391.14952785029,32.0877879519123,308.037694474012,1.52370843111758
"5617+7.000      ",295,-173725.404012484,-1391.93713339421,32.1143879519123,308.037694474012,1.52370843111758
"5617+6.000      ",296,-173724.787832715,-1392.72473893814,32.1409879519123,308.037694474012,1.52370843111758
"5617+5.000      ",297,-173724.171652946,-1393.51234448206,32.1675879519123,308.037694474012,1.52370843111758
"5617+4.000      ",298,-173723.555473178,-1394.29995002598,32.1941879519123,308.037694474012,1.52370843111758
"5617+3.000      ",299,-173722.939293409,-1395.0875555699,32.2207879519123,308.037694474012,1.52370843111758
"5617+2.000      ",300,-173722.323113641,-1395.87516111383,32.2473879519123,308.037694474012,1.52370843111758
"5617+1.000      ",301,-173721.706933872,-1396.66276665775,32.2739879519123,308.037694474012,1.52370843111758
"5617+0.000      ",302,-173721.090754104,-1397.45037220167,32.3005879519123,308.037694474012,1.52370843111758
"5616+9.000      ",303,-173720.474574335,-1398.23797774559,32.3271879519123,308.037694474012,1.52370843111758
"5616+8.000      ",304,-173719.858394567,-1399.02558328952,32.3537879519123,308.037694474012,1.52370843111758
"5616+7.000      ",305,-173719.242214798,-1399.81318883344,32.3803879519123,308.037694474012,1.52370843111758
"5616+6.000      ",306,-173718.626035029,-1400.60079437736,32.4069879519123,308.037694474012,1.52370843111758
"5616+5.000      ",307,-173718.009855261,-1401.38839992128,32.4335879519123,308.037694474012,1.52370843111758
"5616+4.000      ",308,-173717.393675492,-1402.17600546521,32.4601879519123,308.037694474012,1.52370843111758
"5616+3.000      ",309,-173716.777495724,-1402.96361100913,32.4867879519123,308.037694474012,1.52370843111758
"5616+2.000      ",310,-173716.161315955,-1403.75121655305,32.5133879519123,308.037694474012,1.52370843111758
"5616+1.000      ",311,-173715.545136187,-1404.53882209698,32.5399879519123,308.037694474012,1.52370843111758
"5616+0.000      ",312,-173714.928956418,-1405.3264276409,32.5665879519123,308.037694474012,1.52370843111758
"5615+9.000      ",313,-173714.31277665,-1406.11403318482,32.5931879519123,308.037694474012,1.52370843111758
"5615+8.000      ",314,-173713.696596881,-1406.90163872874,32.6197879519123,308.037694474012,1.52370843111758
"5615+7.000      ",315,-173713.080417112,-1407.68924427267,32.6463879519123,308.037694474012,1.52370843111758
"5615+6.000      ",316,-173712.464237344,-1408.47684981659,32.6729879519123,308.037694474012,1.52370843111758
"5615+5.000      ",317,-173711.848057575,-1409.26445536051,32.6995879519123,308.037694474012,1.52370843111758
"5615+4.000      ",318,-173711.231877807,-1410.05206090443,32.7261879519123,308.037694474012,1.52370843111758
"5615+3.000      ",319,-173710.615698038,-1410.83966644836,32.7527879519123,308.037694474012,1.52370843111758
"5615+2.000      ",320,-173709.99951827,-1411.62727199228,32.7793879519123,308.037694474012,1.52370843111758
"5615+1.000      ",321,-173709.383338501,-1412.4148775362,32.8059879519123,308.037694474012,1.52370843111758
"5615+0.000      ",322,-173708.767158732,-1413.20248308012,32.8325879519123,308.037694474012,1.52370843111758
"5614+9.000      ",323,-173708.150978964,-1413.99008862405,32.8591879519123,308.037694474012,1.52370843111758
"5614+8.000      ",324,-173707.534799195,-1414.77769416797,32.8857879519123,308.037694474012,1.52370843111758
"5614+7.000      ",325,-173706.918619427,-1415.56529971189,32.9123879519123,308.037694474012,1.52370843111758
"5614+6.000      ",326,-173706.302439658,-1416.35290525582,32.9389879519123,308.037694474012,1.52370843111758
"5614+5.000      ",327,-173705.68625989,-1417.14051079974,32.9655879519123,308.037694474012,1.52370843111758
"5614+4.000      ",328,-173705.070080121,-1417.92811634366,32.9921879519123,308.037694474012,1.52370843111758
"5614+3.000      ",329,-173704.453900353,-1418.71572188758,33.0187879519123,308.037694474012,1.52370843111758
"5614+2.000      ",330,-173703.837720584,-1419.50332743151,33.0453879519123,308.037694474012,1.52370843111758
"5614+1.000      ",331,-173703.221540815,-1420.29093297543,33.0719879519123,308.037694474012,1.52370843111758
"5614+0.000      ",332,-173702.605361047,-1421.07853851935,33.0985879519123,308.037694474012,1.52370843111758
"5613+9.000      ",333,-173701.989181278,-1421.86614406327,33.1251879519123,308.037694474012,1.52370843111758
"5613+8.000      ",334,-173701.37300151,-1422.6537496072,33.1517879519123,308.037694474012,1.52370843111758
"5613+7.000      ",335,-173700.756821741,-1423.44135515112,33.1783879519123,308.037694474012,1.52370843111758
"5613+6.000      ",336,-173700.140641973,-1424.22896069504,33.2049879519123,308.037694474012,1.52370843111758
"5613+5.000      ",337,-173699.524462204,-1425.01656623896,33.2315879519123,308.037694474012,1.52370843111758
"5613+4.000      ",338,-173698.908282436,-1425.80417178289,33.2581879519123,308.037694474012,1.52370843111758
"5613+3.000      ",339,-173698.292102667,-1426.59177732681,33.2847879519123,308.037694474012,1.52370843111758
"5613+2.000      ",340,-173697.675922898,-1427.37938287073,33.3113879519123,308.037694474012,1.52370843111758
"5613+1.000      ",341,-173697.05974313,-1428.16698841466,33.3379879519123,308.037694474012,1.52370843111758
"5613+0.000      ",342,-173696.443563361,-1428.95459395858,33.3645879519123,308.037694474012,1.52370843111758
"5612+9.000      ",343,-173695.827383593,-1429.7421995025,33.3911879519123,308.037694474012,1.52370843111758
"5612+8.000      ",344,-173695.211203824,-1430.52980504642,33.4177879519123,308.037694474012,1.52370843111758
"5612+7.000      ",345,-173694.595024056,-1431.31741059035,33.4443879519123,308.037694474012,1.52370843111758
"5612+6.000      ",346,-173693.978844287,-1432.10501613427,33.4709879519123,308.037694474012,1.52370843111758
"5612+5.000      ",347,-173693.362664518,-1432.89262167819,33.4975879519123,308.037694474012,1.52370843111758
"5612+4.000      ",348,-173692.74648475,-1433.68022722211,33.5241879519123,308.037694474012,1.52370843111758
"5612+3.000      ",349,-173692.130304981,-1434.46783276604,33.5507879519123,308.037694474012,1.52370843111758
"5612+2.000      ",350,-173691.514125213,-1435.25543830996,33.5773879519123,308.037694474012,1.52370843111758
"5612+1.000      ",351,-173690.897945444,-1436.04304385388,33.6039879519123,308.037694474012,1.52370843111758
"5612+0.000      ",352,-173690.281765676,-1436.8306493978,33.6305879519123,308.037694474012,1.52370843111758
"5611+9.000      ",353,-173689.665585907,-1437.61825494173,33.6571879519123,308.037694474012,1.52370843111758
"5611+8.000      ",354,-173689.049406139,-1438.40586048565,33.6837879519123,308.037694474012,1.52370843111758
"5611+7.000      ",355,-173688.43322637,-1439.19346602957,33.7103879519123,308.037694474012,1.52370843111758
"5611+6.000      ",356,-173687.817046601,-1439.9810715735,33.7369879519123,308.037694474012,1.52370843111758
"5611+5.000      ",357,-173687.200866833,-1440.76867711742,33.7635879519123,308.037694474012,1.52370843111758
"5611+4.000      ",358,-173686.584687064,-1441.55628266134,33.7901879519123,308.037694474012,1.52370843111758
"5611+3.000      ",359,-173685.968507296,-1442.34388820526,33.8167879519123,308.037694474012,1.52370843111758
"5611+2.000      ",360,-173685.352327527,-1443.13149374919,33.8433879519123,308.037694474012,1.52370843111758
"5611+1.000      ",361,-173684.736147759,-1443.91909929311,33.8699879519123,308.037694474012,1.52370843111758
"5611+0.000      ",362,-173684.11996799,-1444.70670483703,33.8965879519123,308.037694474012,1.52370843111758
"5610+9.000      ",363,-173683.503788222,-1445.49431038095,33.9231879519123,308.037694474012,1.52370843111758
"5610+8.000      ",364,-173682.887608453,-1446.28191592488,33.9497879519123,308.037694474012,1.52370843111758
"5610+7.000      ",365,-173682.271428684,-1447.0695214688,33.9763879519123,308.037694474012,1.52370843111758
"5610+6.000      ",366,-173681.655248916,-1447.85712701272,34.0029879519123,308.037694474012,1.52370843111758
"5610+5.000      ",367,-173681.039069147,-1448.64473255664,34.0295879519123,308.037694474012,1.52370843111758
"5610+4.000      ",368,-173680.422889379,-1449.43233810057,34.0561879519123,308.037694474012,1.52370843111758
"5610+3.000      ",369,-173679.80670961,-1450.21994364449,34.0827879519123,308.037694474012,1.52370843111758
"5610+2.000      ",370,-173679.190529842,-1451.00754918841,34.1093879519123,308.037694474012,1.52370843111758
"5610+1.000      ",371,-173678.574350073,-1451.79515473234,34.1359879519123,308.037694474012,1.52370843111758
"5610+0.000      ",372,-173677.958170304,-1452.58276027626,34.1625879519123,308.037694474012,1.52370843111758
"5609+9.000      ",373,-173677.341990536,-1453.37036582018,34.1891879519123,308.037694474012,1.52370843111758
"5609+8.000      ",374,-173676.725810767,-1454.1579713641,34.2157879519123,308.037694474012,1.52370843111758
"5609+7.000      ",375,-173676.109630999,-1454.94557690803,34.2423879519123,308.037694474012,1.52370843111758
"5609+6.000      ",376,-173675.49345123,-1455.73318245195,34.2689879519123,308.037694474012,1.52370843111758
"5609+5.000      ",377,-173674.877271462,-1456.52078799587,34.2955879519123,308.037694474012,1.52370843111758
"5609+4.000      ",378,-173674.261091693,-1457.30839353979,34.3221879519123,308.037694474012,1.52370843111758
"5609+3.000      ",379,-173673.644911925,-1458.09599908372,34.3487879519123,308.037694474012,1.52370843111758
"5609+2.000      ",380,-173673.028732156,-1458.88360462764,34.3753879519123,308.037694474012,1.52370843111758
"5609+1.000      ",381,-173672.412552387,-1459.67121017156,34.4019879519123,308.037694474012,1.52370843111758
"5609+0.000      ",382,-173671.796372619,-1460.45881571548,34.4285879519123,308.037694474012,1.52370843111758
"5608+9.000      ",383,-173671.18019285,-1461.24642125941,34.4551879519123,308.037694474012,1.52370843111758
"5608+8.000      ",384,-173670.564013082,-1462.03402680333,34.4817879519123,308.037694474012,1.52370843111758
"5608+7.000      ",385,-173669.947833313,-1462.82163234725,34.5083879519123,308.037694474012,1.52370843111758
"5608+6.000      ",386,-173669.331653545,-1463.60923789117,34.5349879519123,308.037694474012,1.52370843111758
"5608+5.000      ",387,-173668.715473776,-1464.3968434351,34.5615879519123,308.037694474012,1.52370843111758
"5608+4.000      ",388,-173668.099294008,-1465.18444897902,34.5881879519123,308.037694474012,1.52370843111758
"5608+3.000      ",389,-173667.483114239,-1465.97205452294,34.6147879519123,308.037694474012,1.52370843111758
"5608+2.000      ",390,-173666.86693447,-1466.75966006687,34.6413879519123,308.037694474012,1.52370843111758
"5608+1.000      ",391,-173666.250754702,-1467.54726561079,34.6679879519123,308.037694474012,1.52370843111758
"5608+0.000      ",392,-173665.634574933,-1468.33487115471,34.6945879519123,308.037694474012,1.52370843111758
"5607+9.000      ",393,-173665.018395165,-1469.12247669863,34.7211879519123,308.037694474012,1.52370843111758
"5607+8.000      ",394,-173664.402215396,-1469.91008224256,34.7477879519123,308.037694474012,1.52370843111758
"5607+7.000      ",395,-173663.786035628,-1470.69768778648,34.7743879519123,308.037694474012,1.52370843111758
"5607+6.000      ",396,-173663.169855859,-1471.4852933304,34.8009879519123,308.037694474012,1.52370843111758
"5607+5.000      ",397,-173662.55367609,-1472.27289887432,34.8275879519123,308.037694474012,1.52370843111758
"5607+4.000      ",398,-173661.937496322,-1473.06050441825,34.8541879519123,308.037694474012,1.52370843111758
"5607+3.000      ",399,-173661.321316553,-1473.84810996217,34.8807879519123,308.037694474012,1.52370843111758
"5607+2.000      ",400,-173660.705136785,-1474.63571550609,34.9073879519123,308.037694474012,1.52370843111758
"5607+1.000      ",401,-173660.088957016,-1475.42332105001,34.9339879519123,308.037694474012,1.52370843111758
"5607+0.000      ",402,-173659.472777248,-1476.21092659394,34.9605879519123,308.037694474012,1.52370843111758
"5606+9.000      ",403,-173658.856597479,-1476.99853213786,34.9871879519123,308.037694474012,1.52370843111758
"5606+8.000      ",404,-173658.240417711,-1477.78613768178,35.0137879519123,308.037694474012,1.52370843111758
"5606+7.000      ",405,-173657.624237942,-1478.57374322571,35.0403879519123,308.037694474012,1.52370843111758
"5606+6.000      ",406,-173657.008058173,-1479.36134876963,35.0669879519123,308.037694474012,1.52370843111758
"5606+5.000      ",407,-173656.391878405,-1480.14895431355,35.0935879519123,308.037694474012,1.52370843111758
"5606+4.000      ",408,-173655.775698636,-1480.93655985747,35.1201879519123,308.037694474012,1.52370843111758
"5606+3.000      ",409,-173655.159518868,-1481.7241654014,35.1467879519123,308.037694474012,1.52370843111758
"5606+2.000      ",410,-173654.543339099,-1482.51177094532,35.1733879519123,308.037694474012,1.52370843111758
"5606+1.000      ",411,-173653.927159331,-1483.29937648924,35.1999879519123,308.037694474012,1.52370843111758
"5606+0.000      ",412,-173653.310979562,-1484.08698203316,35.2265879519123,308.037694474012,1.52370843111758
"5605+9.000      ",413,-173652.694799794,-1484.87458757709,35.2531879519123,308.037694474012,1.52370843111758
"5605+8.000      ",414,-173652.078620025,-1485.66219312101,35.2797879519123,308.037694474012,1.52370843111758
"5605+7.000      ",415,-173651.462440256,-1486.44979866493,35.3063879519123,308.037694474012,1.52370843111758
"5605+6.000      ",416,-173650.846260488,-1487.23740420885,35.3329879519123,308.037694474012,1.52370843111758
"5605+5.000      ",417,-173650.230080719,-1488.02500975278,35.3595879519123,308.037694474012,1.52370843111758
"5605+4.000      ",418,-173649.613900951,-1488.8126152967,35.3861879519123,308.037694474012,1.52370843111758
"5605+3.000      ",419,-173648.997721182,-1489.60022084062,35.4127879519123,308.037694474012,1.52370843111758
"5605+2.000      ",420,-173648.381541414,-1490.38782638455,35.4393879519123,308.037694474012,1.52370843111758
"5605+1.000      ",421,-173647.765361645,-1491.17543192847,35.4659879519123,308.037694474012,1.52370843111758
"5605+0.000      ",422,-173647.149181877,-1491.96303747239,35.4925879519123,308.037694474012,1.52370843111758
"5604+9.000      ",423,-173646.533002108,-1492.75064301631,35.5191879519123,308.037694474012,1.52370843111758
"5604+8.000      ",424,-173645.916822339,-1493.53824856024,35.5457879519123,308.037694474012,1.52370843111758
"5604+7.000      ",425,-173645.300642571,-1494.32585410416,35.5723879519123,308.037694474012,1.52370843111758
"5604+6.000      ",426,-173644.684462802,-1495.11345964808,35.5989879519123,308.037694474012,1.52370843111758
"5604+5.000      ",427,-173644.068283034,-1495.901065192,35.6255879519123,308.037694474012,1.52370843111758
"5604+4.000      ",428,-173643.452103265,-1496.68867073593,35.6521879519123,308.037694474012,1.52370843111758
"5604+3.000      ",429,-173642.835923497,-1497.47627627985,35.6787879519123,308.037694474012,1.52370843111758
"5604+2.000      ",430,-173642.219743728,-1498.26388182377,35.7053879519123,308.037694474012,1.52370843111758
"5604+1.000      ",431,-173641.603563959,-1499.05148736769,35.7319879519123,308.037694474012,1.52370843111758
"5604+0.000      ",432,-173640.987384191,-1499.83909291162,35.7585879519123,308.037694474012,1.52370843111758
"5603+9.000      ",433,-173640.371204422,-1500.62669845554,35.7851879519123,308.037694474012,1.52370843111758
"5603+8.000      ",434,-173639.755024654,-1501.41430399946,35.8117879519123,308.037694474012,1.52370843111758
"5603+7.000      ",435,-173639.138844885,-1502.20190954339,35.8383879519123,308.037694474012,1.52370843111758
"5603+6.000      ",436,-173638.522665117,-1502.98951508731,35.8649879519123,308.037694474012,1.52370843111758
"5603+5.000      ",437,-173637.906485348,-1503.77712063123,35.8915879519123,308.037694474012,1.52370843111758
"5603+4.000      ",438,-173637.29030558,-1504.56472617515,35.9181879519123,308.037694474012,1.52370843111758
"5603+3.000      ",439,-173636.674125811,-1505.35233171908,35.9447879519123,308.037694474012,1.52370843111758
"5603+2.000      ",440,-173636.057946042,-1506.139937263,35.9713879519123,308.037694474012,1.52370843111758
"5603+1.000      ",441,-173635.441766274,-1506.92754280692,35.9979879519123,308.037694474012,1.52370843111758
"5603+0.000      ",442,-173634.825586505,-1507.71514835084,36.0245879519123,308.037694474012,1.52370843111758
"5602+9.000      ",443,-173634.209406737,-1508.50275389477,36.0511879519123,308.037694474012,1.52370843111758
"5602+8.000      ",444,-173633.593226968,-1509.29035943869,36.0777879519123,308.037694474012,1.52370843111758
"5602+7.000      ",445,-173632.9770472,-1510.07796498261,36.1043879519123,308.037694474012,1.52370843111758
"5602+6.000      ",446,-173632.360867431,-1510.86557052653,36.1309879519123,308.037694474012,1.52370843111758
"5602+5.000      ",447,-173631.744687663,-1511.65317607046,36.1575879519123,308.037694474012,1.52370843111758
"5602+4.000      ",448,-173631.128507894,-1512.44078161438,36.1841879519123,308.037694474012,1.52370843111758
"5602+3.000      ",449,-173630.512328125,-1513.2283871583,36.2107879519123,308.037694474012,1.52370843111758
"5602+2.000      ",450,-173629.896148357,-1514.01599270223,36.2373879519123,308.037694474012,1.52370843111758
"5602+1.000      ",451,-173629.279968588,-1514.80359824615,36.2639879519123,308.037694474012,1.52370843111758
"5602+0.000      ",452,-173628.66378882,-1515.59120379007,36.2905879519123,308.037694474012,1.52370843111758
"5601+9.000      ",453,-173628.047609051,-1516.37880933399,36.3171879519123,308.037694474012,1.52370843111758
"5601+8.000      ",454,-173627.431429283,-1517.16641487792,36.3437879519123,308.037694474012,1.52370843111758
"5601+7.000      ",455,-173626.815249514,-1517.95402042184,36.3703879519123,308.037694474012,1.52370843111758
"5601+6.000      ",456,-173626.199069745,-1518.74162596576,36.3969879519123,308.037694474012,1.52370843111758
"5601+5.000      ",457,-173625.582889977,-1519.52923150968,36.4235879519123,308.037694474012,1.52370843111758
"5601+4.000      ",458,-173624.966710208,-1520.31683705361,36.4501879519123,308.037694474012,1.52370843111758
"5601+3.000      ",459,-173624.35053044,-1521.10444259753,36.4767879519123,308.037694474012,1.52370843111758
"5601+2.000      ",460,-173623.734350671,-1521.89204814145,36.5033879519123,308.037694474012,1.52370843111758
"5601+1.000      ",461,-173623.118170903,-1522.67965368537,36.5299879519123,308.037694474012,1.52370843111758
"5601+0.000      ",462,-173622.501991134,-1523.4672592293,36.5565879519123,308.037694474012,1.52370843111758
"5600+9.000      ",463,-173621.885811366,-1524.25486477322,36.5831879519123,308.037694474012,1.52370843111758
"5600+8.000      ",464,-173621.269631597,-1525.04247031714,36.6097879519123,308.037694474012,1.52370843111758
"5600+7.000      ",465,-173620.653451828,-1525.83007586107,36.6363879519123,308.037694474012,1.52370843111758
"5600+6.000      ",466,-173620.03727206,-1526.61768140499,36.6629879519123,308.037694474012,1.52370843111758
"5600+5.000      ",467,-173619.421092291,-1527.40528694891,36.6895879519123,308.037694474012,1.52370843111758
"5600+4.000      ",468,-173618.804912523,-1528.19289249283,36.7161879519123,308.037694474012,1.52370843111758
"5600+3.000      ",469,-173618.188732754,-1528.98049803676,36.7427879519123,308.037694474012,1.52370843111758
"5600+2.000      ",470,-173617.572552986,-1529.76810358068,36.7693879519123,308.037694474012,1.52370843111758
"5600+1.000      ",471,-173616.956373217,-1530.5557091246,36.7959879519123,308.037694474012,1.52370843111758
"5600+0.000      ",472,-173616.340193449,-1531.34331466852,36.8225879519123,308.037694474012,1.52370843111758
"5599+9.000      ",473,-173615.72401368,-1532.13092021245,36.8491879519123,308.037694474012,1.52370843111758
"5599+8.000      ",474,-173615.107833911,-1532.91852575637,36.8757879519123,308.037694474012,1.52370843111758
"5599+7.000      ",475,-173614.491654143,-1533.70613130029,36.9023879519123,308.037694474012,1.52370843111758
"5599+6.000      ",476,-173613.875474374,-1534.49373684421,36.9289879519123,308.037694474012,1.52370843111758
"5599+5.000      ",477,-173613.259294606,-1535.28134238814,36.9555879519123,308.037694474012,1.52370843111758
"5599+4.000      ",478,-173612.643114837,-1536.06894793206,36.9821879519123,308.037694474012,1.52370843111758
"5599+3.000      ",479,-173612.026935069,-1536.85655347598,37.0087879519123,308.037694474012,1.52370843111758
"5599+2.000      ",480,-173611.4107553,-1537.64415901991,37.0353879519123,308.037694474012,1.52370843111758
"5599+1.000      ",481,-173610.794575531,-1538.43176456383,37.0619879519123,308.037694474012,1.52370843111758
"5599+0.000      ",482,-173610.178395763,-1539.21937010775,37.0885879519123,308.037694474012,1.52370843111758
"5598+9.000      ",483,-173609.562215994,-1540.00697565167,37.1151879519123,308.037694474012,1.52370843111758
"5598+8.000      ",484,-173608.946036226,-1540.7945811956,37.1417879519123,308.037694474012,1.52370843111758
"5598+7.000      ",485,-173608.329856457,-1541.58218673952,37.1683879519123,308.037694474012,1.52370843111758
"5598+6.000      ",486,-173607.713676689,-1542.36979228344,37.1949879519123,308.037694474012,1.52370843111758
"5598+5.000      ",487,-173607.09749692,-1543.15739782736,37.2215879519123,308.037694474012,1.52370843111758
"5598+4.000      ",488,-173606.481317152,-1543.94500337129,37.2481879519123,308.037694474012,1.52370843111758
"5598+3.000      ",489,-173605.865137383,-1544.73260891521,37.2747879519123,308.037694474012,1.52370843111758
"5598+2.000      ",490,-173605.248957614,-1545.52021445913,37.3013879519123,308.037694474012,1.52370843111758
"5598+1.000      ",491,-173604.632777846,-1546.30782000305,37.3279879519123,308.037694474012,1.52370843111758
"5598+0.000      ",492,-173604.016598077,-1547.09542554698,37.3545879519123,308.037694474012,1.52370843111758
"5597+9.000      ",493,-173603.400418309,-1547.8830310909,37.3811879519123,308.037694474012,1.52370843111758
"5597+8.000      ",494,-173602.78423854,-1548.67063663482,37.4077879519123,308.037694474012,1.52370843111758
"5597+7.000      ",495,-173602.168058772,-1549.45824217874,37.4343879519123,308.037694474012,1.52370843111758
"5597+6.000      ",496,-173601.551879003,-1550.24584772267,37.4609879519123,308.037694474012,1.52370843111758
"5597+5.000      ",497,-173600.935699235,-1551.03345326659,37.4875879519123,308.037694474012,1.52370843111758
"5597+4.000      ",498,-173600.319519466,-1551.82105881051,37.5141879519123,308.037694474012,1.52370843111758
"5597+3.000      ",499,-173599.703339697,-1552.60866435444,37.5407879519123,308.037694474012,1.52370843111758
"5597+2.000      ",500,-173599.087159929,-1553.39626989836,37.5673879519123,308.037694474012,1.52370843111758
"5597+1.000      ",501,-173598.47098016,-1554.18387544228,37.5939879519123,308.037694474012,1.52370843111758
"5597+0.000      ",502,-173597.854800392,-1554.9714809862,37.6205879519123,308.037694474012,1.52370843111758
"5596+9.000      ",503,-173597.238620623,-1555.75908653013,37.6471879519123,308.037694474012,1.52370843111758
"5596+8.000      ",504,-173596.622440855,-1556.54669207405,37.6737879519123,308.037694474012,1.52370843111758
"5596+7.000      ",505,-173596.006261086,-1557.33429761797,37.7003879519123,308.037694474012,1.52370843111758
"5596+6.000      ",506,-173595.390081317,-1558.12190316189,37.7269879519123,308.037694474012,1.52370843111758
"5596+5.000      ",507,-173594.773901549,-1558.90950870582,37.7535879519123,308.037694474012,1.52370843111758
"5596+4.000      ",508,-173594.15772178,-1559.69711424974,37.7801879519123,308.037694474012,1.52370843111758
"5596+3.000      ",509,-173593.541542012,-1560.48471979366,37.8067879519123,308.037694474012,1.52370843111758
"5596+2.000      ",510,-173592.925362243,-1561.27232533758,37.8333879519123,308.037694474012,1.52370843111758
"5596+1.000      ",511,-173592.309182475,-1562.05993088151,37.8599879519123,308.037694474012,1.52370843111758
"5596+0.000      ",512,-173591.693002706,-1562.84753642543,37.8865879519123,308.037694474012,1.52370843111758
"5595+9.000      ",513,-173591.076822938,-1563.63514196935,37.9131879519123,308.037694474012,1.52370843111758
"5595+8.000      ",514,-173590.460643169,-1564.42274751328,37.9397879519123,308.037694474012,1.52370843111758
"5595+7.000      ",515,-173589.8444634,-1565.2103530572,37.9663879519123,308.037694474012,1.52370843111758
"5595+6.000      ",516,-173589.228283632,-1565.99795860112,37.9929879519123,308.037694474012,1.52370843111758
"5595+5.000      ",517,-173588.612103863,-1566.78556414504,38.0195879519123,308.037694474012,1.52370843111758
"5595+4.000      ",518,-173587.995924095,-1567.57316968897,38.0461879519123,308.037694474012,1.52370843111758
"5595+3.000      ",519,-173587.379744326,-1568.36077523289,38.0727879519123,308.037694474012,1.52370843111758
"5595+2.000      ",520,-173586.763564558,-1569.14838077681,38.0993879519123,308.037694474012,1.52370843111758
"5595+1.000      ",521,-173586.147384789,-1569.93598632073,38.1259879519123,308.037694474012,1.52370843111758
"5595+0.000      ",522,-173585.531205021,-1570.72359186466,38.1525879519123,308.037694474012,1.52370843111758
"5594+9.000      ",523,-173584.915025252,-1571.51119740858,38.1791879519123,308.037694474012,1.52370843111758
"5594+8.000      ",524,-173584.298845483,-1572.2988029525,38.2057879519123,308.037694474012,1.52370843111758
"5594+7.000      ",525,-173583.682665715,-1573.08640849642,38.2323879519123,308.037694474012,1.52370843111758
