ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
701,791,STA 646+91,898.620654296875,133,2007/12/12 13:05:43,2007/12/25 16:32:57,2007/12/12 13:06:53,2008/01/08 15:55:18,2007/12/13 11:24:53,1899/12/30 00:00:00,1899/12/30 00:00:00,-102439.080715228,-11093.261572198,73.1224281753443,-102444.545947672,-11091.4213631976,68.6617312995559,-102433.753799049,-11095.4574415784,69.0707062158066,-102444.747494044,-11091.3184041602,67.0512745943282,-102433.427623685,-11095.602160252,66.9567035926795,,,,,,,-102439.062922435,-11093.2667125426,73.1218543032911,-102444.548289989,-11091.417091614,68.665539699563,-102433.737269262,-11095.4559226903,69.071668245437,-102444.747146863,-11091.3170880864,67.0558952039638,-102433.411619546,-11095.597096136,66.9664142521784,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
791,900,STA 645+82,2007/12/12 13:07:00,898.621,899.012,0,0,0,,,,0,0,0,0,0,0,,,0,0,-102439.0813,-11093.2614,73.124,-102444.2985,-11091.1317,69.1025,-102433.7537,-11095.4573,69.072,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/13 08:08:00,898.621,900.97,-3.6,-1.2,-4.8,0,,,0,0,0,0,0,-2.1,0,0,0,0,-102439.0813,-11093.2614,73.124,-102444.2985,-11091.1317,69.1025,-102433.7537,-11095.4573,69.072,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/13 12:04:00,898.619,901.56,-3.8,-1,-5.6,0.5,5.7,-11,0,0,0,-1.3,0.4,-2.7,1.9,-2.6,0,0,-102439.0837,-11093.259,73.1211,-102444.297,-11091.1283,69.1043,-102433.7595,-11095.4556,69.068,-102444.6034,-11091.03,67.022,-102433.441,-11095.5962,66.9601,,,,,,,0,0,0,0,0,0,0,,,-1.3,0.4,-2.7,1.9,-2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/14 16:35:00,898.621,904.4,-3.9,-2.3,-5.3,0.4,,,0,0,0,-2.3,-1.2,-2.3,1.6,-2.8,0,0,-102439.0813,-11093.2614,73.124,-102444.2985,-11091.1317,69.1025,-102433.7537,-11095.4573,69.072,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.3,-1.2,-2.3,1.6,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/15 18:22:00,898.621,904.4,-3.4,-2.6,-5.1,0.9,,,0,0,0,-2.6,0.9,-3.1,1.9,-3.1,0,0,-102439.0813,-11093.2614,73.124,-102444.2985,-11091.1317,69.1025,-102433.7537,-11095.4573,69.072,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.6,0.9,-3.1,1.9,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/16 09:54:00,898.623,904.4,-3.5,-2.3,-6,0.8,4.3,-11.8,0,0,0,-2.5,-0.8,-2.7,1.2,-2.8,0,0,-102439.0566,-11093.2738,73.1199,-102444.2704,-11091.1434,69.1031,-102433.7313,-11095.4658,69.068,-102444.5746,-11091.0439,67.0213,-102433.4116,-11095.6095,66.9615,,,,,,,0,0,0,0,0,0,0,,,-2.5,-0.8,-2.7,1.2,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/18 18:54:00,898.623,909.755,-4.1,-2.9,-5.8,0.6,4.3,-11.8,0,0,0,-2.8,-1.9,-3.6,0.6,-3.9,0,0,-102439.0566,-11093.2738,73.1199,-102444.2704,-11091.1434,69.1031,-102433.7313,-11095.4658,69.068,-102444.5746,-11091.0439,67.0213,-102433.4116,-11095.6095,66.9615,,,,,,,0,0,0,0,0,0,0,,,-2.8,-1.9,-3.6,0.6,-3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/24 17:08:00,898.625,934.027,-4.5,-2.3,-5.4,0,3.6,-8.4,0,0,0,-2.9,-1.3,-3.3,1.7,-2,0,0,-102439.067,-11093.2716,73.1195,,,,-102433.7396,-11095.4594,69.0674,-102444.5829,-11091.0372,67.0218,-102433.414,-11095.5994,66.9607,,,,,,,0,0,0,0,0,0,0,,,-2.9,-1.3,-3.3,1.7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2007/12/25 16:34:00,898.621,938.235,-4.4,-3,-6.3,0.4,,-10.4,0,0,0,-2.6,-1.4,-3.8,0.9,-2.1,0,0,-102439.06,-11093.2705,73.1198,-102444.5456,-11091.4214,68.6622,-102433.7349,-11095.4617,69.0684,,,,-102433.4099,-11095.6021,66.9626,,,,,,,0,0,0,0,0,0,0,,,-2.6,-1.4,-3.8,0.9,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,900,STA 645+82,2008/01/08 15:54:00,898.62,946.535,-3.6,-2.4,-5.5,0.2,,-9.2,0,0,0,-3.1,-1.6,-3.1,0.3,-2.9,0,0,-102439.0636,-11093.2676,73.1193,-102444.5496,-11091.4176,68.6614,-102433.7381,-11095.46,69.0683,,,,-102433.4125,-11095.6004,66.9618,,,,,,,0,0,0,0,0,0,0,,,-3.1,-1.6,-3.1,0.3,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
