ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
236,237,STA 652+45,237.661767578125,125,2007/05/22 09:23:53,2007/05/22 09:25:13,2007/05/22 09:25:49,2007/05/23 12:42:29,2007/05/23 12:43:11,1899/12/30 00:00:00,1899/12/30 00:00:00,-102163.634245393,-10492.6203786691,63.1866321453955,-102169.270757121,-10490.3118150407,58.6407056179745,-102158.357795241,-10494.7532579751,58.3925565562216,-102169.482736197,-10490.2230455632,57.0568092583254,-102158.258840763,-10494.8064887671,56.9703740427007,,,,,,,-102163.632103082,-10492.6198422353,63.1696671653848,-102169.267691258,-10490.3142906011,58.6312610968818,-102158.361952723,-10494.7641316027,58.3526271508458,-102169.467371909,-10490.2374833683,57.0496706751397,-102158.238033556,-10494.8136951201,56.9592960233982,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
237,239,STA 652+43,2007/05/22 09:28:00,237.662,239.217,0,0,0,,,,0,0,0,0,0,0,,,0,0,-102163.6353,-10492.62,63.1868,-102169.2713,-10490.3111,58.6412,-102158.3579,-10494.7531,58.3925,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/22 16:44:00,237.661,241.033,-0.9,-0.3,-1,,,,0,0,0,-0.5,1,-1.2,,,0,0,-102163.6347,-10492.6193,63.1862,-102169.2717,-10490.312,58.6417,-102158.3595,-10494.7526,58.3914,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-0.5,1,-1.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/23 12:44:00,237.574,245.747,-1.2,-2.2,-2.3,-0.2,,,0,0,0,-4.1,,,-0.3,-0.9,0,0,,,,,,,,,,-102169.4831,-10490.2227,57.0565,-102158.2597,-10494.8067,56.9694,,,,,,,0,0,0,0,0,0,0,,,-4.1,,,-0.3,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/23 12:49:00,237.66,245.763,-4.6,-2.3,-5.7,0.1,-18.2,11.9,0,0,0,-4.5,-1.6,-3.4,0,-1,0,0,-102163.6536,-10492.6106,63.1822,-102169.2879,-10490.3061,58.6391,-102158.3798,-10494.7442,58.3892,-102169.4831,-10490.2223,57.0568,-102158.2594,-10494.8066,56.9694,,,,,,,0,0,0,0,0,0,0,,,-4.5,-1.6,-3.4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/23 18:14:00,237.659,246.847,-3,-2.6,-4.9,3.2,-15.2,12,0,0,0,-4.3,1.3,-1.1,2.7,1.3,0,0,-102163.6352,-10492.6168,63.1853,-102169.2706,-10490.3104,58.642,-102158.3615,-10494.7482,58.3915,-102169.4712,-10490.2345,57.0595,-102158.2411,-10494.8111,56.9717,,,,,,,0,0,0,0,0,0,0,,,-4.3,1.3,-1.1,2.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/24 17:51:00,237.657,251.57,-2.4,-2.4,-4.1,2.1,-7.9,10.8,0,0,0,-3.6,0.3,-2.4,-2.1,3,0,0,-102163.6367,-10492.6138,63.1861,-102169.2744,-10490.309,58.642,-102158.364,-10494.7459,58.3912,-102169.4806,-10490.2223,57.0609,-102158.2437,-10494.809,56.9734,,,,,,,0,0,0,0,0,0,0,,,-3.6,0.3,-2.4,-2.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/25 11:55:00,237.658,255.429,-5.2,-1.5,-4.8,1.8,-15.8,11.2,0,0,0,-3.8,-1.8,-2.8,-0.4,0.9,0,0,-102163.6396,-10492.6137,63.1838,-102169.2742,-10490.3105,58.6399,-102158.3646,-10494.7474,58.3908,-102169.4761,-10490.2365,57.0574,-102158.245,-10494.807,56.9713,,,,,,,0,0,0,0,0,0,0,,,-3.8,-1.8,-2.8,-0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/26 11:08:00,237.658,260.2,-4.4,-3.6,-5.3,1.7,-16.3,10.3,0,0,0,-4.5,-1.5,-2.9,0.5,0.7,0,0,-102163.6355,-10492.6157,63.1832,-102169.2713,-10490.3106,58.6402,-102158.3625,-10494.7482,58.3907,-102169.4713,-10490.2343,57.0583,-102158.2421,-10494.8094,56.9711,,,,,,,0,0,0,0,0,0,0,,,-4.5,-1.5,-2.9,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/28 12:04:00,237.657,260.96,-3.7,-3.1,-4.7,1,-17.5,9.9,0,0,0,-4.9,-0.9,-3.8,1.6,-0.8,0,0,-102163.6434,-10492.6119,63.1817,-102169.2799,-10490.3078,58.6398,-102158.3701,-10494.7442,58.3888,-102169.4787,-10490.23,57.0584,-102158.2507,-10494.806,56.9696,,,,,,,0,0,0,0,0,0,0,,,-4.9,-0.9,-3.8,1.6,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,239,STA 652+43,2007/05/29 17:36:00,237.657,266.45,-3.2,-3.2,-4.1,1.7,-18.3,11.9,0,0,0,-3.8,-1.1,-2.5,-2.3,-0.1,0,0,-102163.6385,-10492.6139,63.1828,-102169.2745,-10490.3095,58.6396,-102158.3619,-10494.7473,58.39,-102169.4727,-10490.2336,57.059,-102158.2433,-10494.8079,56.9702,,,,,,,0,0,0,0,0,0,0,,,-3.8,-1.1,-2.5,-2.3,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
