ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
607,678,STA 648+4,763.101123046875,133,2007/11/02 19:05:32,2007/11/02 19:06:11,2007/11/02 19:07:00,2007/11/03 16:59:32,2007/11/03 17:00:01,1899/12/30 00:00:00,1899/12/30 00:00:00,-102385.069404369,-10968.9918042579,71.0355292762462,-102390.365438601,-10966.4426696769,66.7209822134554,-102379.977429061,-10971.3978094188,67.1060248028746,-102390.590896082,-10966.32473319,64.9540164257097,-102379.625051862,-10971.5405407189,64.9392927516049,,,,,,,-102385.104730523,-10968.9702218156,71.0306747429451,-102390.401938818,-10966.4131157215,66.7177363312854,-102380.02939928,-10971.375142037,67.1337032642131,-102390.594287309,-10966.3281988561,64.9668955330616,-102379.644678662,-10971.5349024466,64.9360659566944,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
678,764,STA 647+18,2007/11/02 19:08:00,763.101,765.833,0,0,0,,,,0,0,0,0,0,0,,,0,0,-102385.0695,-10968.991,71.0368,-102390.3658,-10966.4423,66.7195,-102379.9773,-10971.3981,67.1067,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/03 17:02:00,763.102,768.8,-0.4,-1.1,-6.8,0.6,-16,14,0,0,0,-1.8,-0.1,-0.3,-1,0.6,0,0,-102385.0895,-10968.9829,71.0337,-102390.3891,-10966.4223,66.7209,-102380.0119,-10971.382,67.1358,-102390.5906,-10966.3237,64.953,-102379.6249,-10971.5411,64.9399,,,,,,,0,0,0,0,0,0,0,,,-1.8,-0.1,-0.3,-1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/05 18:44:00,763.097,771.733,-0.6,0.5,-6.9,-1.1,-17.5,15.5,0,0,0,-5.8,-6.4,-4.7,-4.9,-5.1,0,0,-102385.0941,-10968.9759,71.0297,-102390.3938,-10966.4201,66.7145,-102380.0165,-10971.379,67.1314,-102390.5954,-10966.3221,64.9491,-102379.631,-10971.5382,64.9342,,,,,,,0,0,0,0,0,0,0,,,-5.8,-6.4,-4.7,-4.9,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/06 18:58:00,-117.9,778.39,-1.4,-1.2,-9,-2.5,,,0,0,0,-5.1,-6.3,-4,-3.1,-4.2,0,0,,,,-102390.3876,-10966.4203,66.7166,-102380.0132,-10971.3806,67.132,-102390.5896,-10966.3223,64.951,,,,,,,,,,0,0,0,0,0,0,0,,,-5.1,-6.3,-4,-3.1,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/07 18:50:00,763.095,783.775,-2.5,-2.5,-9.1,-5.2,-28.9,12.6,0,0,0,-5,-6.1,-4.6,-4.1,-4.6,0,0,-102385.0839,-10968.9787,71.0306,-102390.3835,-10966.4231,66.7183,-102380.0084,-10971.3818,67.1347,-102390.5866,-10966.3306,64.9646,-102379.6233,-10971.5398,64.9363,,,,,,,0,0,0,0,0,0,0,,,-5,-6.1,-4.6,-4.1,-4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/10 11:19:00,763.098,796.832,-3.8,-1.3,-10.8,-5.8,-29.8,14.1,0,0,0,-5.6,-5.3,-4.9,-4.6,-5.9,0,0,-102385.0865,-10968.9799,71.033,-102390.3835,-10966.4236,66.7202,-102380.0099,-10971.3814,67.1355,-102390.5874,-10966.3303,64.9674,-102379.6252,-10971.5402,64.9369,,,,,,,0,0,0,0,0,0,0,,,-5.6,-5.3,-4.9,-4.6,-5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/14 11:48:00,763.095,799.28,-3.1,-0.7,-9.9,-4.7,-29.6,14.6,0,0,0,-5.9,-6.5,-5.6,-5.1,-4.8,0,0,-102385.0913,-10968.9744,71.0323,-102390.3891,-10966.4185,66.719,-102380.0154,-10971.3783,67.1343,-102390.5943,-10966.3282,64.9669,-102379.6307,-10971.5378,64.9363,,,,,,,0,0,0,0,0,0,0,,,-5.9,-6.5,-5.6,-5.1,-4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/15 18:22:00,763.096,806.883,-2.8,-0.5,-9.4,-5.1,,14.7,0,0,0,-6.8,-6.8,-5.8,-4.3,-5.6,0,0,-102385.0881,-10968.9771,71.028,-102390.3857,-10966.4207,66.7142,-102380.0119,-10971.3812,67.1302,,,,-102379.6268,-10971.5402,64.9323,,,,,,,0,0,0,0,0,0,0,,,-6.8,-6.8,-5.8,-4.3,-5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/20 16:57:00,763.098,816.098,-3.5,-1.6,-9.3,-5.6,,14.4,0,0,0,-5,-6.1,-4.7,-5.5,-4.9,0,0,-102385.0607,-10968.9923,71.0305,,,,-102379.9836,-10971.394,67.1313,,,,-102379.5979,-10971.5515,64.935,,,,,,,0,0,0,0,0,0,0,,,-5,-6.1,-4.7,-5.5,-4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/23 13:45:00,763.097,826.838,-3.9,-1.3,-10.1,-4.9,,13.6,0,0,0,-4.9,-6.2,-5.1,-4.6,-5.4,0,0,-102385.1047,-10968.9702,71.0307,-102390.4019,-10966.4131,66.7177,-102380.0294,-10971.3751,67.1337,,,,-102379.6447,-10971.5349,64.9361,,,,,,,0,0,0,0,0,0,0,,,-4.9,-6.2,-5.1,-4.6,-5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/11/30 18:32:00,763.097,857.6,-3.7,-1.1,-10.3,-5.2,,13.6,0,0,0,-5.3,-6.8,-5.6,-4.9,-5,0,0,-102385.1047,-10968.9702,71.0307,-102390.4019,-10966.4131,66.7177,-102380.0294,-10971.3751,67.1337,,,,-102379.6447,-10971.5349,64.9361,,,,,,,0,0,0,0,0,0,0,,,-5.3,-6.8,-5.6,-4.9,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2007/12/07 18:01:00,763.097,881.403,-3.3,-1.7,-9.7,-5.6,,13.6,0,0,0,-5.4,-6.4,-5.7,-5.3,-5.6,0,0,-102385.1047,-10968.9702,71.0307,-102390.4019,-10966.4131,66.7177,-102380.0294,-10971.3751,67.1337,,,,-102379.6447,-10971.5349,64.9361,,,,,,,0,0,0,0,0,0,0,,,-5.4,-6.4,-5.7,-5.3,-5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2008/08/01 15:35:00,763.097,1163.3,-4.3,-2.4,-10.5,-5.9,,13.6,0,0,0,-6.3,-6.9,-5.8,-5.9,-5.9,0,0,-102385.1047,-10968.9702,71.0307,-102390.4019,-10966.4131,66.7177,-102380.0294,-10971.3751,67.1337,,,,-102379.6447,-10971.5349,64.9361,,,,,,,0,0,0,0,0,0,0,,,-6.3,-6.9,-5.8,-5.9,-5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2008/08/04 11:29:00,763.097,1163.3,-4.6,-2.9,-10.9,-6.3,,13.6,0,0,0,-6.9,-6.8,-6.3,-6.5,-6.4,0,0,-102385.1047,-10968.9702,71.0307,-102390.4019,-10966.4131,66.7177,-102380.0294,-10971.3751,67.1337,,,,-102379.6447,-10971.5349,64.9361,,,,,,,0,0,0,0,0,0,0,,,-6.9,-6.8,-6.3,-6.5,-6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,764,STA 647+18,2008/08/12 17:15:00,763.097,1163.3,-4.6,-3.3,-10.7,-6.4,,13.6,0,0,0,-6.7,-6.1,-6.9,-6.6,-6.7,0,0,-102385.1047,-10968.9702,71.0307,-102390.4019,-10966.4131,66.7177,-102380.0294,-10971.3751,67.1337,,,,-102379.6447,-10971.5349,64.9361,,,,,,,0,0,0,0,0,0,0,,,-6.7,-6.1,-6.9,-6.6,-6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
