
id,n,chiriin_pref_name,muniCd,chiriin_city_name
1100,1,北海道,1100,札幌市
1101,1,北海道,1101,札幌市中央区
1102,1,北海道,1102,札幌市北区
1103,1,北海道,1103,札幌市東区
1104,1,北海道,1104,札幌市白石区
1105,1,北海道,1105,札幌市豊平区
1106,1,北海道,1106,札幌市南区
