ﾎﾟｲﾝﾄ名称,距離(m),形成時代,大区分,岩相
16+28.000       ,30.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+29.000       ,31.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+30.000       ,32.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+31.000       ,33.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+32.000       ,34.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+33.000       ,35.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+34.000       ,36.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+35.000       ,37.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+36.000       ,38.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+37.000       ,39.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+38.000       ,40.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
