ﾎﾟｲﾝﾄ名称,距離(m),形成時代,大区分,岩相
22+33.000       ,635.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+34.000       ,636.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+35.000       ,637.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+36.000       ,638.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+37.000       ,639.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+38.000       ,640.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+39.000       ,641.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+40.000       ,642.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+41.000       ,643.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+42.000       ,644.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+43.000       ,645.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+44.000       ,646.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+45.000       ,647.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+46.000       ,648.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+47.000       ,649.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+48.000       ,650.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+49.000       ,651.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+50.000       ,652.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+51.000       ,653.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+52.000       ,654.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+53.000       ,655.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+54.000       ,656.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+55.000       ,657.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+56.000       ,658.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+57.000       ,659.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+58.000       ,660.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+59.000       ,661.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+60.000       ,662.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+61.000       ,663.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+62.000       ,664.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+63.000       ,665.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+64.000       ,666.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+65.000       ,667.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+66.000       ,668.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+67.000       ,669.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+68.000       ,670.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+69.000       ,671.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+70.000       ,672.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+71.000       ,673.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+72.000       ,674.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+73.000       ,675.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+74.000       ,676.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+75.000       ,677.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+76.000       ,678.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+77.000       ,679.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+78.000       ,680.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+79.000       ,681.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+80.000       ,682.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+81.000       ,683.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+82.000       ,684.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+83.000       ,685.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+84.000       ,686.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+85.000       ,687.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+86.000       ,688.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+87.000       ,689.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+88.000       ,690.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+89.000       ,691.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+90.000       ,692.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+91.000       ,693.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+92.000       ,694.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+93.000       ,695.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+94.000       ,696.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+95.000       ,697.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+96.000       ,698.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+97.000       ,699.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+98.000       ,700.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
22+99.000       ,701.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
23+0.000        ,702.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
23+1.000        ,703.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
23+2.000        ,704.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
23+3.000        ,705.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
23+4.000        ,706.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
23+5.000        ,707.0,新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期,付加体,玄武岩 海洋 前期中新世後期-中期中新世付加体
23+6.000        ,708.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+7.000        ,709.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+8.000        ,710.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+9.000        ,711.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+10.000       ,712.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+11.000       ,713.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+12.000       ,714.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+13.000       ,715.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+14.000       ,716.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+15.000       ,717.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+16.000       ,718.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+17.000       ,719.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+18.000       ,720.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+19.000       ,721.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+20.000       ,722.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+21.000       ,723.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+22.000       ,724.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+23.000       ,725.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+24.000       ,726.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+25.000       ,727.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+26.000       ,728.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+27.000       ,729.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+28.000       ,730.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+29.000       ,731.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+30.000       ,732.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+31.000       ,733.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+32.000       ,734.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+33.000       ,735.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+34.000       ,736.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+35.000       ,737.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+36.000       ,738.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+37.000       ,739.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+38.000       ,740.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+39.000       ,741.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+40.000       ,742.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+41.000       ,743.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+42.000       ,744.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+43.000       ,745.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+44.000       ,746.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+45.000       ,747.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+46.000       ,748.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+47.000       ,749.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+48.000       ,750.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+49.000       ,751.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+50.000       ,752.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+51.000       ,753.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+52.000       ,754.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+53.000       ,755.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+54.000       ,756.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+55.000       ,757.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+56.000       ,758.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+57.000       ,759.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+58.000       ,760.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+59.000       ,761.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+60.000       ,762.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+61.000       ,763.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+62.000       ,764.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+63.000       ,765.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+64.000       ,766.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+65.000       ,767.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+66.000       ,768.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+67.000       ,769.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+68.000       ,770.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+69.000       ,771.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+70.000       ,772.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+71.000       ,773.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+72.000       ,774.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+73.000       ,775.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+74.000       ,776.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+75.000       ,777.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+76.000       ,778.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+77.000       ,779.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+78.000       ,780.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+79.000       ,781.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+80.000       ,782.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+81.000       ,783.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+82.000       ,784.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+83.000       ,785.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+84.000       ,786.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+85.000       ,787.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+86.000       ,788.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+87.000       ,789.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+88.000       ,790.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+89.000       ,791.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+90.000       ,792.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+91.000       ,793.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+92.000       ,794.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+93.000       ,795.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+94.000       ,796.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+95.000       ,797.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+96.000       ,798.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+97.000       ,799.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+98.000       ,800.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
23+99.000       ,801.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+0.000        ,802.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+1.000        ,803.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+2.000        ,804.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+3.000        ,805.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+4.000        ,806.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+5.000        ,807.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+6.000        ,808.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+7.000        ,809.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+8.000        ,810.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+9.000        ,811.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+10.000       ,812.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+11.000       ,813.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+12.000       ,814.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+13.000       ,815.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+14.000       ,816.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+15.000       ,817.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+16.000       ,818.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+17.000       ,819.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+18.000       ,820.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+19.000       ,821.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+20.000       ,822.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
24+21.000       ,823.0,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,閃緑岩・石英閃緑岩 島弧・大陸
